mention_name,mention_type,mention_popularity,mention_address,mention_found_in_blogFiles
ballast point,locality,616,"Ballast Point, Two Harbors, Los Angeles County, California, United States of America","anaheim_and_carlsbad.json,anaheim_and_san francisco.json,anaheim_and_temecula.json,avalon_and_carlsbad.json,avalon_and_san bernardino.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_san bernardino.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_los angeles.json,long beach_and_san bernardino.json,los angeles_and_san bernardino.json,los angeles_and_san diego.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json"
capitola beach,beach,514,"Capitola Beach, Esplanade, Capitola, Santa Cruz County, California, 95010, United States of America","avalon_and_santa cruz.json,berkeley_and_santa cruz.json,carlsbad_and_santa cruz.json,fremont_and_santa cruz.json,huntington beach_and_sacramento.json,huntington beach_and_santa cruz.json,irvine_and_santa cruz.json,long beach_and_santa cruz.json,monterey_and_sacramento.json,monterey_and_santa cruz.json,oakland_and_santa cruz.json,riverside_and_santa cruz.json,sacramento_and_santa cruz.json,san bernardino_and_santa cruz.json,san diego_and_santa cruz.json,san jose_and_santa cruz.json,santa cruz_and_temecula.json"
san pablo,administrative,347,"San Pablo, Contra Costa County, California, United States of America","berkeley_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_sacramento.json,berkeley_and_fremont.json,fremont_and_oakland.json,fresno_and_stockton.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,oakland_and_san bernardino.json,oakland_and_stockton.json,riverside_and_sacramento.json,san bernardino_and_stockton.json"
innsbruck,unclassified,33,"Innsbruck Drive, Sunnyvale, Santa Clara County, California, 94089, United States of America",berkeley_and_san luis obispo.json
mendocino,administrative,3074,"Mendocino County, California, United States of America","anaheim_and_santa cruz.json,avalon_and_napa.json,avalon_and_oakland.json,avalon_and_sacramento.json,anaheim_and_napa.json,beverly hills_and_sausalito.json,avalon_and_santa cruz.json,bakersfield_and_fremont.json,bakersfield_and_napa.json,bakersfield_and_sacramento.json,bakersfield_and_san francisco.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,berkeley_and_san luis obispo.json,berkeley_and_carlsbad.json,beverly hills_and_monterey.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_santa cruz.json,big bear lake_and_monterey.json,big bear lake_and_oakland.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_santa cruz.json,fresno_and_oakland.json,fresno_and_san francisco.json,huntington beach_and_mammoth lakes.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,irvine_and_monterey.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_santa cruz.json,huntington beach_and_san jose.json,long beach_and_napa.json,long beach_and_oakland.json,long beach_and_sacramento.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_santa cruz.json,long beach_and_stockton.json,los angeles_and_napa.json,long beach_and_mammoth lakes.json,malibu_and_napa.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_santa cruz.json,malibu_and_mammoth lakes.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san jose.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_temecula.json,monterey_and_pasadena.json,monterey_and_sacramento.json,monterey_and_temecula.json,napa_and_pasadena.json,napa_and_pismo beach.json,napa_and_riverside.json,napa_and_san bernardino.json,napa_and_san luis obispo.json,napa_and_santa barbara.json,napa_and_santa monica.json,long beach_and_monterey.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_santa monica.json,napa_and_temecula.json,oakland_and_san diego.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa monica.json,pasadena_and_santa cruz.json,pismo beach_and_san jose.json,riverside_and_santa cruz.json,riverside_and_sausalito.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,sacramento_and_temecula.json,san bernardino_and_sausalito.json,san diego_and_san jose.json,san diego_and_santa cruz.json,san diego_and_sausalito.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_santa barbara.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san jose_and_santa monica.json,san jose_and_temecula.json,santa ana_and_stockton.json,santa barbara_and_santa cruz.json,santa cruz_and_santa monica.json,santa cruz_and_temecula.json,sausalito_and_temecula.json"
santa cruz county fairgrounds,recreation_ground,28,"Santa Cruz County Fairgrounds, Freedom, Interlaken, Santa Cruz County, California, 95076, United States of America",monterey_and_santa cruz.json
bridge creek,stream,36,"Bridge Creek, Lassen County, California, United States of America",beverly hills_and_mammoth lakes.json
burke county,stream,23,"Burke Creek, Kern County, California, United States of America",malibu_and_oakland.json
colorado blvd,primary,65,"Colorado Boulevard, Eagle Rock, Highland Park, LA, Los Angeles County, California, 90041, United States of America","beverly hills_and_pasadena.json,long beach_and_santa clarita.json"
tulelake,city,977,"Tulelake, Siskiyou County, California, United States of America","anaheim_and_san jose.json,anaheim_and_sausalito.json,avalon_and_sausalito.json,big bear lake_and_sausalito.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_stockton.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_sausalito.json,long beach_and_stockton.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_sausalito.json,oakland_and_santa clarita.json,pasadena_and_sausalito.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,santa monica_and_sausalito.json,stockton_and_temecula.json"
los angeles/anaheim,car_repair,587,"Global Tires of California, 233, East Anaheim Street, Wilmington, LA, Los Angeles County, California, 90744, United States of America","anaheim_and_stockton.json,avalon_and_fresno.json,avalon_and_oakland.json,avalon_and_pasadena.json,bakersfield_and_beverly hills.json,bakersfield_and_oakland.json,bakersfield_and_pasadena.json,beverly hills_and_fresno.json,beverly hills_and_oakland.json,beverly hills_and_stockton.json,beverly hills_and_temecula.json,fremont_and_temecula.json,fresno_and_riverside.json,oakland_and_pasadena.json,oakland_and_riverside.json,pasadena_and_riverside.json,pasadena_and_stockton.json,riverside_and_sausalito.json,riverside_and_stockton.json,oakland_and_temecula.json,sausalito_and_temecula.json"
eagle ranch,hamlet,34,"Eagle Ranch, San Bernardino County, California, United States of America",bakersfield_and_big bear lake.json
live oak canyon,dam,55,"Live Oak Canyon Dam, Los Angeles County, California, United States of America","irvine_and_san bernardino.json,irvine_and_stockton.json"
manhattan,forest,2616,"Manhattan, Anaheim Resort District, Anaheim, Orange County, California, 217, United States of America","anaheim_and_long beach.json,anaheim_and_pismo beach.json,anaheim_and_santa cruz.json,avalon_and_beverly hills.json,avalon_and_huntington beach.json,berkeley_and_long beach.json,avalon_and_santa barbara.json,avalon_and_santa cruz.json,avalon_and_santa monica.json,bakersfield_and_riverside.json,beverly hills_and_big bear lake.json,beverly hills_and_fremont.json,beverly hills_and_malibu.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_santa ana.json,beverly hills_and_santa barbara.json,big bear lake_and_santa monica.json,carlsbad_and_santa cruz.json,fremont_and_huntington beach.json,fremont_and_santa clarita.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_pasadena.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_santa barbara.json,huntington beach_and_santa clarita.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,irvine_and_long beach.json,irvine_and_malibu.json,irvine_and_monterey.json,irvine_and_san jose.json,irvine_and_santa cruz.json,huntington beach_and_malibu.json,huntington beach_and_san jose.json,long beach_and_sacramento.json,long beach_and_san diego.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_santa clarita.json,long beach_and_santa cruz.json,long beach_and_santa monica.json,long beach_and_stockton.json,long beach_and_malibu.json,los angeles_and_sausalito.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_santa cruz.json,malibu_and_sausalito.json,napa_and_pismo beach.json,napa_and_san luis obispo.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_newport beach.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_santa monica.json,oakland_and_san bernardino.json,oakland_and_santa clarita.json,oakland_and_santa monica.json,pismo beach_and_san diego.json,pismo beach_and_santa monica.json,riverside_and_san francisco.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san bernardino_and_santa monica.json,san diego_and_santa clarita.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san francisco_and_santa monica.json,san jose_and_santa barbara.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san jose_and_santa monica.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa cruz_and_santa monica.json"
tamarind avenue,residential,36,"Tamarind Avenue, Little Armenia, LA, Los Angeles County, California, Ca 90038, United States of America",san bernardino_and_santa monica.json
retiro,residential,33,"El Retiro, Mission Viejo, Orange County, California, 92692, United States of America",san bernardino_and_santa ana.json
islands america,island,28,"North Island, Coronado, San Diego County, California, United States of America",anaheim_and_pismo beach.json
powell street,station,144,"Powell Street, Market Street, South of Market, SF, California, 94104, United States of America","berkeley_and_san francisco.json,berkeley_and_stockton.json,oakland_and_san francisco.json,oakland_and_sausalito.json,san jose_and_sausalito.json"
cheeseboro canyon,path,31,"Cheeseboro Canyon Trail, Ventura County, California, 91307, United States of America",riverside_and_santa monica.json
south main st.,trunk,36,"South Main Street, Harbor City, LA, Los Angeles County, California, 90710, United States of America",mammoth lakes_and_santa clarita.json
monterey market,supermarket,28,"Monterey Market, 1550, Hopkins Street, Westbrae, Berkeley, Alameda County, California, 94707, United States of America",berkeley_and_sacramento.json
great blue heron,yes,32,"Great Blue Heron Hall, Bravo Toro Lane, Gravenstein, Sonoma County, California, 95401, United States of America",mammoth lakes_and_sausalito.json
san joaquin river viaduct,river,24,"San Joaquin River, Madera County, California, United States of America",fresno_and_san jose.json
quimby road,secondary,108,"Quimby Road, Silver Creek, San José, Santa Clara County, California, 95148, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
sepulveda blvd,primary,91,"Sepulveda Boulevard, Encino, LA, Los Angeles County, California, 90049, United States of America","los angeles_and_san diego.json,pasadena_and_san diego.json,san diego_and_santa clarita.json"
soquel creek,river,143,"Soquel Creek, Capitola, Santa Cruz County, California, United States of America","avalon_and_santa cruz.json,carlsbad_and_santa cruz.json,irvine_and_santa cruz.json,long beach_and_santa cruz.json,riverside_and_santa cruz.json"
lake hollywood dr.,residential,32,"Lake Hollywood Drive, Hollywood Hills, LA, Los Angeles County, California, 90068, United States of America",beverly hills_and_riverside.json
la playa,hamlet,27,"La Playa, San Diego County, California, United States of America",monterey_and_san diego.json
laurel mountain,peak,232,"Laurel Mountain, Kern County, California, United States of America","bakersfield_and_mammoth lakes.json,irvine_and_mammoth lakes.json,los angeles_and_mammoth lakes.json,mammoth lakes_and_oakland.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san francisco.json"
pacheco pass,ridge,103,"Pacheco Pass, Pacheco Pass Highway, Santa Clara County, California, United States of America","anaheim_and_san jose.json,avalon_and_fresno.json,bakersfield_and_fresno.json,san jose_and_stockton.json"
baja,residential,485,"Baja, Newport Center, Newport Beach, Orange County, California, 92660, United States of America","avalon_and_mammoth lakes.json,beverly hills_and_malibu.json,beverly hills_and_mammoth lakes.json,huntington beach_and_santa cruz.json,irvine_and_mammoth lakes.json,huntington beach_and_san jose.json,long beach_and_los angeles.json,long beach_and_mammoth lakes.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_san diego.json,mammoth lakes_and_temecula.json,napa_and_san luis obispo.json,santa clarita_and_sausalito.json,santa ana_and_sausalito.json,santa clarita_and_temecula.json"
marin,administrative,2572,"Marin County, California, United States of America","anaheim_and_santa cruz.json,avalon_and_berkeley.json,anaheim_and_napa.json,avalon_and_santa cruz.json,avalon_and_sausalito.json,berkeley_and_napa.json,berkeley_and_sacramento.json,berkeley_and_san luis obispo.json,berkeley_and_santa cruz.json,berkeley_and_santa monica.json,berkeley_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_oakland.json,beverly hills_and_san jose.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_santa cruz.json,fresno_and_monterey.json,fresno_and_san bernardino.json,fresno_and_san francisco.json,fresno_and_santa cruz.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,irvine_and_monterey.json,irvine_and_san jose.json,irvine_and_santa cruz.json,huntington beach_and_san jose.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_santa cruz.json,long beach_and_sausalito.json,los angeles_and_napa.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa cruz.json,monterey_and_temecula.json,napa_and_pismo beach.json,napa_and_sacramento.json,napa_and_san jose.json,napa_and_san luis obispo.json,napa_and_santa monica.json,long beach_and_monterey.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_santa monica.json,napa_and_temecula.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,oakland_and_san luis obispo.json,oakland_and_santa cruz.json,oakland_and_santa monica.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa cruz.json,riverside_and_sacramento.json,riverside_and_san francisco.json,sacramento_and_san luis obispo.json,sacramento_and_santa barbara.json,sacramento_and_santa cruz.json,sacramento_and_santa monica.json,sacramento_and_sausalito.json,sacramento_and_temecula.json,san diego_and_san luis obispo.json,san diego_and_santa cruz.json,san francisco_and_santa cruz.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,newport beach_and_sausalito.json,sacramento_and_san francisco.json,san jose_and_santa monica.json,san jose_and_temecula.json,san luis obispo_and_santa cruz.json,san luis obispo_and_temecula.json,santa barbara_and_santa cruz.json,santa cruz_and_santa monica.json,santa cruz_and_temecula.json,sausalito_and_temecula.json"
sun valley,neighbourhood,84,"Sun Valley, North Hollywood, LA, Los Angeles County, California, 91352, United States of America","napa_and_santa clarita.json,napa_and_santa monica.json,malibu_and_santa clarita.json"
sinaloa,town,359,"Sinaloa, Mexicali, Baja California, México","beverly hills_and_sacramento.json,beverly hills_and_san jose.json,fremont_and_long beach.json,fresno_and_long beach.json,fresno_and_san bernardino.json,huntington beach_and_san jose.json,long beach_and_oakland.json,long beach_and_sacramento.json,long beach_and_stockton.json,oakland_and_santa ana.json,sacramento_and_santa ana.json,santa ana_and_stockton.json"
dimond district,neighbourhood,25,"Dimond District, Oakland, Alameda County, California, 94602, United States of America",berkeley_and_fremont.json
menominee river,residential,33,"Menominee Court, Moreno Valley, Riverside County, California, 92553, United States of America",big bear lake_and_long beach.json
irvine center drive,primary,86,"Irvine Center Drive, Irvine, Orange County, California, 92637, United States of America","beverly hills_and_irvine.json,irvine_and_san luis obispo.json,irvine_and_stockton.json"
pico boulevard,primary,915,"Pico Boulevard, South Carthay, The Village Green, LA, Los Angeles County, California, 90035, United States of America","avalon_and_santa monica.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,berkeley_and_malibu.json,berkeley_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fremont_and_santa monica.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,long beach_and_santa monica.json,los angeles_and_santa monica.json,malibu_and_pasadena.json,malibu_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,san bernardino_and_santa monica.json,santa monica_and_temecula.json"
ventura county california,administrative,31,"Ventura County, California, United States of America",bakersfield_and_santa cruz.json
mount dora,hamlet,28,"Dora Belle, Fresno County, California, United States of America",pasadena_and_sacramento.json
little sur river,river,195,"Little Sur River, Monterey County, California, United States of America","berkeley_and_long beach.json,berkeley_and_monterey.json,fremont_and_los angeles.json,los angeles_and_stockton.json,malibu_and_stockton.json,monterey_and_san jose.json,santa cruz_and_stockton.json"
india street,residential,259,"India Street, Silver Lake Heights, Atwater, LA, Los Angeles County, California, 90039, United States of America","anaheim_and_san diego.json,avalon_and_san diego.json,bakersfield_and_san diego.json,fresno_and_san diego.json,monterey_and_san diego.json,riverside_and_san diego.json,san bernardino_and_santa monica.json,san diego_and_san jose.json,san diego_and_stockton.json"
rhine,residential,25,"The Rhine, Lido Peninsula Resort, Balboa Island, Newport Beach, Orange County, California, 92663, United States of America",avalon_and_riverside.json
collingwood road,residential,28,"Collingwood Drive, LA, Los Angeles County, California, 90069, United States of America",pasadena_and_sacramento.json
peach springs,residential,25,"Peach Springs Drive, Menifee Lakes, Menifee, Riverside County, California, 92584, United States of America",fresno_and_riverside.json
hamburg township,hamlet,54,"Hamburg, Siskiyou County, California, United States of America","avalon_and_oakland.json,beverly hills_and_oakland.json"
grand hyatt,hotel,29,"Hyatt Regency San Francisco, 5, Sacramento Street, Financial District, SF, California, 94111, United States of America",beverly hills_and_fresno.json
omaha,neighbourhood,145,"Omaha Heights, Highland Park, LA, Los Angeles County, California, 90032, United States of America","avalon_and_pasadena.json,beverly hills_and_big bear lake.json,fremont_and_irvine.json,fremont_and_santa ana.json,newport beach_and_riverside.json"
strip,hamlet,107,"Cherokee Strip, Kern County, California, United States of America","avalon_and_fremont.json,fremont_and_irvine.json,fremont_and_san diego.json,mammoth lakes_and_sausalito.json"
del taco,yes,305,"Del taco, Van Buren Boulevard, Riverside, Riverside County, California, 92508, United States of America","anaheim_and_riverside.json,bakersfield_and_newport beach.json,fresno_and_santa ana.json,huntington beach_and_oakland.json,huntington beach_and_santa clarita.json,long beach_and_riverside.json,newport beach_and_oakland.json,oakland_and_riverside.json,oakland_and_santa ana.json,riverside_and_santa ana.json"
los alamitos creek,stream,108,"Alamitos Creek, San José, Santa Clara County, California, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
the islands,restaurant,28,"Islands, 404, Washington Boulevard, Venice, LA, Los Angeles County, California, 90292, United States of America",pasadena_and_sacramento.json
tejon ranch,tertiary,932,"Bob Stine Road, Wheeler Ridge, Kern County, California, United States of America","anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_fresno.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_santa clarita.json,bakersfield_and_irvine.json,bakersfield_and_los angeles.json,bakersfield_and_oakland.json,bakersfield_and_sacramento.json,bakersfield_and_san diego.json,bakersfield_and_san jose.json,berkeley_and_los angeles.json,fremont_and_newport beach.json,fresno_and_irvine.json,fresno_and_sacramento.json,fresno_and_san diego.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_san jose.json,los angeles_and_oakland.json,los angeles_and_sacramento.json,los angeles_and_san diego.json,los angeles_and_san jose.json,oakland_and_san diego.json,oakland_and_santa clarita.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,san diego_and_san jose.json,san francisco_and_santa clarita.json,sacramento_and_san diego.json"
grand canyon village,university,117,"California State University, San Bernardino, Central Walk, San Bernardino, San Bernardino County, California, 92407, United States of America","carlsbad_and_fremont.json,huntington beach_and_oakland.json,fresno_and_riverside.json,oakland_and_san bernardino.json"
del rey cemetery,administrative,180,"Del Rey, East Jefferson Avenue, Del Rey, Fresno County, California, 93616, United States of America","beverly hills_and_san luis obispo.json,fremont_and_santa barbara.json,sacramento_and_san luis obispo.json,san bernardino_and_san luis obispo.json,sacramento_and_san bernardino.json"
tamarack lodge,hotel,409,"Tamarack Lodge, CA 4, Cottage Springs, Calaveras County, California, United States of America","bakersfield_and_mammoth lakes.json,beverly hills_and_mammoth lakes.json,huntington beach_and_mammoth lakes.json,irvine_and_mammoth lakes.json,los angeles_and_mammoth lakes.json,mammoth lakes_and_oakland.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san francisco.json,mammoth lakes_and_santa monica.json,mammoth lakes_and_stockton.json,mammoth lakes_and_temecula.json"
rosedale highway,primary,75,"Rosedale Highway, Bakersfield, Kern County, California, 93312, United States of America","bakersfield_and_san bernardino.json,san bernardino_and_san luis obispo.json"
moffett field,museum,58,"Moffett Field Model Railroad Club, Building 126, Severyns Avenue, Santa Clara County, California, 94035-0016, United States of America","malibu_and_san jose.json,san jose_and_san luis obispo.json"
boron,village,326,"Boron, Kern County, California, United States of America","anaheim_and_fresno.json,bakersfield_and_san bernardino.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_temecula.json,irvine_and_oakland.json,irvine_and_sacramento.json,fresno_and_riverside.json,pasadena_and_temecula.json,san bernardino_and_san luis obispo.json"
placerita trail,park,127,"Placerita Canyon State Park, Placerita Canyon Trail, Sand Canyon, Los Angeles County, California, 91351, United States of America","avalon_and_santa clarita.json,santa ana_and_santa clarita.json,santa clarita_and_sausalito.json,santa clarita_and_stockton.json"
centro,city,81,"El Centro, Imperial County, California, United States of America","avalon_and_sacramento.json,berkeley_and_riverside.json,irvine_and_sacramento.json"
albany,administrative,602,"Albany, Alameda County, California, United States of America","berkeley_and_long beach.json,berkeley_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_oakland.json,berkeley_and_pasadena.json,berkeley_and_sacramento.json,berkeley_and_san francisco.json,berkeley_and_santa monica.json,berkeley_and_stockton.json,berkeley_and_beverly hills.json,berkeley_and_fremont.json,beverly hills_and_oakland.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,riverside_and_sacramento.json,san jose_and_stockton.json"
transverse range,unclassified,857,"Transverse Drive, Richmond District, SF, California, 94121, United States of America","anaheim_and_berkeley.json,anaheim_and_fresno.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,berkeley_and_san jose.json,bakersfield_and_oakland.json,bakersfield_and_sacramento.json,bakersfield_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_sacramento.json,fresno_and_irvine.json,fresno_and_sacramento.json,fresno_and_san diego.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_san jose.json,los angeles_and_oakland.json,los angeles_and_sacramento.json,los angeles_and_san jose.json,oakland_and_sacramento.json,oakland_and_san diego.json,oakland_and_san jose.json,oakland_and_santa clarita.json,sacramento_and_san jose.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,san diego_and_san jose.json,san francisco_and_santa clarita.json,sacramento_and_san diego.json"
columbus ave.,primary,62,"Columbus Avenue, North Beach, SF, California, 94133, United States of America","long beach_and_san francisco.json,long beach_and_stockton.json"
yerba,park,30,"Yerba Buena Gardens, Howard Street, South of Market, SF, California, 94103, United States of America",oakland_and_san francisco.json
serengeti,residential,28,"Serengeti Drive, Tenaja, Riverside County, California, United States of America",santa ana_and_sausalito.json
casa de fruta,restaurant,25,"Casa de Fruta, Casa de Fruta Parkway, San Felipe, Santa Clara County, California, United States of America",fresno_and_sausalito.json
old santa barbara mission,tower,284,"KDB-FM (Santa Barbara), Gibraltar Road, Santa Barbara County, California, 93103, United States of America","avalon_and_mammoth lakes.json,beverly hills_and_pismo beach.json,bakersfield_and_pismo beach.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,los angeles_and_mammoth lakes.json,long beach_and_mammoth lakes.json,mammoth lakes_and_pasadena.json,napa_and_pismo beach.json"
redwood forest.big basin,path,229,"Redwood Trail, Big Basin, Santa Cruz County, California, United States of America","anaheim_and_napa.json,bakersfield_and_san francisco.json,berkeley_and_sacramento.json,monterey_and_temecula.json,san diego_and_sausalito.json,san francisco_and_temecula.json,san jose_and_santa cruz.json,san jose_and_temecula.json"
glass beach,beach,144,"Glass Beach, Ka Kahleh Trail, Fort Bragg, Mendocino County, California, 95437, United States of America","fresno_and_oakland.json,long beach_and_oakland.json,long beach_and_sacramento.json,long beach_and_stockton.json,newport beach_and_sausalito.json"
kanbar center,yes,59,"Kanbar Center, Page Street, Western Addition, SF, California, 94102, United States of America","long beach_and_sausalito.json,sacramento_and_sausalito.json"
washington/california,hamlet,62,"Washington, Nevada County, California, United States of America","sacramento_and_san jose.json,sacramento_and_san francisco.json"
basel,residential,25,"Basel Place, Riverside, Riverside County, California, 92504, United States of America",avalon_and_riverside.json
aurora,hamlet,461,"Aurora, Stanislaus County, California, United States of America","anaheim_and_fremont.json,bakersfield_and_mammoth lakes.json,big bear lake_and_mammoth lakes.json,fremont_and_fresno.json,fremont_and_mammoth lakes.json,fremont_and_stockton.json,fremont_and_temecula.json,fremont_and_riverside.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_temecula.json,pasadena_and_sacramento.json"
apple hill,commercial,409,"Apple, Inc., Cupertino, Santa Clara County, California, 95014, United States of America","avalon_and_sacramento.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,berkeley_and_sacramento.json,fremont_and_sacramento.json,irvine_and_sacramento.json,los angeles_and_sausalito.json,monterey_and_sacramento.json,oakland_and_sacramento.json,oakland_and_stockton.json,riverside_and_sacramento.json,sacramento_and_sausalito.json,sacramento_and_san francisco.json"
