mention_name,mention_type,mention_popularity,mention_address,no_of_blogFiles,mention_found_in_blogFiles
silver mountain vineyards,vineyard,1,"Silver Mountain Vineyards, Redwood Lodge, Santa Cruz County, California, 95033, United States of America",1,fremont_and_monterey.json
rollins lake,dam,1,"Rollins Dam, Nevada County, California, United States of America",1,big bear lake_and_sacramento.json
crete,ridge,1,"Chalk Hills, Rhoda Street, Warner Center, LA, Los Angeles County, California, 91367, United States of America",3,"malibu_and_napa.json,napa_and_pasadena.json,napa_and_santa barbara.json"
casablanca,hotel,1,"Casablanca, Beach Street, Beach & Boardwalk District (Commercial), Downtown, Santa Cruz, Santa Cruz County, California, 95060, United States of America",1,long beach_and_oakland.json
n. highland avenue,primary,1,"North Highland Avenue, Hollywood, LA, Los Angeles County, California, 90068, United States of America",2,"beverly hills_and_santa clarita.json,newport beach_and_santa clarita.json"
los angeles/kern county,primary,1,"California City Boulevard, California City, Kern County, California, United States of America",1,mammoth lakes_and_santa clarita.json
beach blvd.,primary,1,"Beach Boulevard, Huntington Beach, Orange County, California, 92648, United States of America",1,beverly hills_and_long beach.json
del taco,yes,2,"Del taco, Van Buren Boulevard, Riverside, Riverside County, California, 92508, United States of America",10,"anaheim_and_riverside.json,bakersfield_and_newport beach.json,fresno_and_santa ana.json,huntington beach_and_oakland.json,huntington beach_and_santa clarita.json,long beach_and_riverside.json,newport beach_and_oakland.json,oakland_and_riverside.json,oakland_and_santa ana.json,riverside_and_santa ana.json"
san joaquin street,residential,1,"San Joaquin Street, Sacramento, Sacramento County, California, 95820, United States of America",1,san francisco_and_stockton.json
metro van ness station,construction,1,"Metro Crenshaw/LAX transit project, West 52nd Street, Van Ness, Leimert Park, LA, Los Angeles County, California, 90043, United States of America",1,santa ana_and_sausalito.json
red woods,residential,1,"Red Hawk Canyon Road, Huckleberry Woods, Santa Cruz County, California, 95006, United States of America",9,"avalon_and_sacramento.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,berkeley_and_sacramento.json,irvine_and_sacramento.json,monterey_and_sacramento.json,sacramento_and_sausalito.json,sacramento_and_san francisco.json"
perris valley,drain,2,"Perris Valley Storm Drain, Perris, Riverside County, California, United States of America",2,"san bernardino_and_temecula.json,stockton_and_temecula.json"
vernon,administrative,1,"Vernon, Los Angeles County, California, United States of America",1,newport beach_and_sausalito.json
w. millennium drive,residential,1,"West Millennium Drive, The Campus at Playa Vista, Playa Vista, LA, Los Angeles County, California, 90094, United States of America",1,irvine_and_sausalito.json
the bird cage theater,theatre,1,"Bird Cage Theatre, 8039, Beach Boulevard, Buena Park, Orange County, California, 90620, United States of America",1,fremont_and_los angeles.json
seine river,residential,2,"Seine Court, Valle Vista, Riverside County, California, 92554, United States of America",2,"avalon_and_riverside.json,beverly hills_and_san francisco.json"
monterey bay lodge,motel,1,"Monterey Bay Lodge, Lake Street, Monterey, Monterey County, California, 93940, United States of America",1,fremont_and_monterey.json
steamer lane,residential,1,"Steamer Lane, Vallejo, Solano County, California, 94591, United States of America",1,napa_and_santa cruz.json
livermore valley,science_park,3,"LLNL, Mesquite Way, Livermore, Alameda County, California, 94550, United States of America",12,"avalon_and_sacramento.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,berkeley_and_sacramento.json,irvine_and_sacramento.json,monterey_and_sacramento.json,napa_and_temecula.json,pismo beach_and_temecula.json,sacramento_and_sausalito.json,sacramento_and_san francisco.json,san luis obispo_and_temecula.json"
corona del mar state beach,beach,2,"Corona del Mar State Beach, Ocean Boulevard, Corona del Mar, Newport Beach, Orange County, California, 92625, United States of America",3,"beverly hills_and_newport beach.json,long beach_and_newport beach.json,newport beach_and_santa ana.json"
hawthorne boulevard,primary,1,"Hawthorne Boulevard, Inglewood, Los Angeles County, California, 90304, United States of America",2,"los angeles_and_malibu.json,long beach_and_los angeles.json"
arroyo seco road,track,1,"Arroyo Seco Road, Pasadena, Los Angeles County, California, 91109, United States of America",4,"berkeley_and_long beach.json,fremont_and_los angeles.json,los angeles_and_stockton.json,malibu_and_stockton.json"
yosemite junction,hamlet,1,"Yosemite Junction, Tuolumne County, California, United States of America",2,"fresno_and_oakland.json,fresno_and_san jose.json"
la colina,residential,1,"Colina, El Toro Mobile Home Estates, Lake Forest, Orange County, California, CA 92630, United States of America",1,irvine_and_santa barbara.json
aliso beach park,beach,1,"Aliso Beach, Coast Highway, Laguna Beach, Orange County, California, 92651, United States of America",2,"avalon_and_long beach.json,avalon_and_los angeles.json"
roxbury park,park,2,"Roxbury Park, South Roxbury Drive, Beverly Hills, Los Angeles County, California, 90035, United States of America",3,"beverly hills_and_santa ana.json,big bear lake_and_san jose.json,malibu_and_san jose.json"
wawona-mariposa grove,hamlet,1,"Wawona, Mariposa County, California, United States of America",6,"anaheim_and_napa.json,bakersfield_and_san francisco.json,monterey_and_temecula.json,san diego_and_sausalito.json,san francisco_and_temecula.json,san jose_and_temecula.json"
bermuda avenue beach,residential,1,"Bermuda Avenue, San Diego, San Diego County, California, 92107, United States of America",1,newport beach_and_san diego.json
descanso canyon,residential,1,"Via Descanso, Dove Canyon, Rancho Santa Margarita, Orange County, California, 92688, United States of America",1,avalon_and_newport beach.json
euclid ave,primary,1,"Euclid Avenue, Ontario, San Bernardino County, California, 91710, United States of America",1,avalon_and_riverside.json
thompson ave.,residential,1,"Thompson Avenue, Glendale, Los Angeles County, California, 91201, United States of America",1,pasadena_and_sacramento.json
bass lake,hamlet,4,"Bass Lake, Madera County, California, United States of America",13,"bakersfield_and_fresno.json,bakersfield_and_napa.json,bakersfield_and_sacramento.json,bakersfield_and_san francisco.json,bakersfield_and_stockton.json,big bear lake_and_fresno.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_los angeles.json,fresno_and_napa.json,fresno_and_sacramento.json,fresno_and_stockton.json,fresno_and_temecula.json"
west valley,taxiway,2,"W, Service road S, Westchester, Playa del Rey, LA, Los Angeles County, California, 90245, United States of America",2,"malibu_and_santa clarita.json,pasadena_and_sacramento.json"
rotterdam,residential,1,"Rotterdam, Riverside, Riverside County, California, 92508, United States of America",1,santa ana_and_sausalito.json
luce,residential,1,"Luce Avenue, Stockton, San Joaquin County, California, 95204, United States of America",1,fresno_and_los angeles.json
east canyon trail,track,1,"Canyon Trail, Santa Clara County, California, United States of America",2,"santa clarita_and_sausalito.json,santa clarita_and_stockton.json"
santa monica airport,aerodrome,2,"Santa Monica Municipal Airport, Donald Douglas Loop North, Santa Monica, Los Angeles County, California, 90405, United States of America",6,"berkeley_and_malibu.json,berkeley_and_santa monica.json,long beach_and_santa monica.json,los angeles_and_santa monica.json,malibu_and_pasadena.json,malibu_and_santa monica.json"
marina village parkway,tertiary,1,"Marina Village Parkway, Alameda, Alameda County, California, 94501, United States of America",1,santa monica_and_stockton.json
walnut creek,administrative,18,"Walnut Creek, Contra Costa County, California, United States of America",30,"avalon_and_berkeley.json,avalon_and_napa.json,avalon_and_san jose.json,berkeley_and_san jose.json,bakersfield_and_napa.json,berkeley_and_los angeles.json,berkeley_and_napa.json,berkeley_and_sacramento.json,berkeley_and_stockton.json,berkeley_and_fremont.json,carlsbad_and_napa.json,fremont_and_oakland.json,fremont_and_sacramento.json,fremont_and_san francisco.json,fremont_and_sausalito.json,fresno_and_napa.json,irvine_and_napa.json,irvine_and_sacramento.json,long beach_and_oakland.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,napa_and_san bernardino.json,napa_and_san diego.json,napa_and_san francisco.json,napa_and_san jose.json,oakland_and_san jose.json,oakland_and_stockton.json,sacramento_and_sausalito.json,sacramento_and_san bernardino.json,sacramento_and_san francisco.json"
airport boulevard,secondary,1,"Airport Boulevard, Westchester, Playa Vista, LA, Los Angeles County, California, 90045, United States of America",1,bakersfield_and_sacramento.json
santa clara caltrain station,bus_stop,1,"Santa Clara Caltrain Station, Railroad Avenue, Santa Clara, Santa Clara County, California, 95050, United States of America",1,bakersfield_and_sausalito.json
havana,restaurant,4,"Havana, 1516, Bonanza Street, Walnut Creek, Contra Costa County, California, 94596, United States of America",24,"huntington beach_and_monterey.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_san jose.json,long beach_and_oakland.json,long beach_and_san jose.json,long beach_and_santa cruz.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_santa cruz.json,napa_and_newport beach.json,long beach_and_monterey.json,malibu_and_monterey.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_sacramento.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_santa cruz.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san jose_and_santa barbara.json,santa cruz_and_santa monica.json"
metropole,residential,1,"Metropole Avenue, Avalon, Los Angeles County, California, 90704, United States of America",1,avalon_and_los angeles.json
london,village,29,"London, Tulare County, California, United States of America",95,"anaheim_and_fresno.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,avalon_and_bakersfield.json,avalon_and_berkeley.json,avalon_and_fresno.json,avalon_and_mammoth lakes.json,avalon_and_san luis obispo.json,anaheim_and_napa.json,bakersfield_and_san bernardino.json,berkeley_and_long beach.json,beverly hills_and_sausalito.json,avalon_and_santa cruz.json,avalon_and_sausalito.json,bakersfield_and_beverly hills.json,bakersfield_and_fresno.json,bakersfield_and_long beach.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_san luis obispo.json,berkeley_and_santa clarita.json,beverly hills_and_fresno.json,beverly hills_and_mammoth lakes.json,beverly hills_and_monterey.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san francisco.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa cruz.json,big bear lake_and_sausalito.json,carlsbad_and_oakland.json,carlsbad_and_pismo beach.json,carlsbad_and_sacramento.json,carlsbad_and_santa cruz.json,carlsbad_and_stockton.json,fremont_and_san bernardino.json,fremont_and_san diego.json,fremont_and_santa barbara.json,fresno_and_los angeles.json,fresno_and_monterey.json,fresno_and_oakland.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san jose.json,fresno_and_stockton.json,huntington beach_and_mammoth lakes.json,huntington beach_and_monterey.json,huntington beach_and_pismo beach.json,huntington beach_and_sacramento.json,huntington beach_and_santa cruz.json,huntington beach_and_sausalito.json,irvine_and_sacramento.json,irvine_and_sausalito.json,fresno_and_riverside.json,huntington beach_and_san jose.json,long beach_and_oakland.json,long beach_and_sausalito.json,long beach_and_stockton.json,long beach_and_mammoth lakes.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_pismo beach.json,malibu_and_sausalito.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_santa monica.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,napa_and_riverside.json,mammoth lakes_and_sausalito.json,oakland_and_san bernardino.json,oakland_and_santa clarita.json,pasadena_and_sausalito.json,pismo beach_and_santa monica.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,san jose_and_santa ana.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san luis obispo_and_santa clarita.json,san luis obispo_and_sausalito.json,santa monica_and_sausalito.json,stockton_and_temecula.json"
east cabrillo blvd.,primary,1,"East Cabrillo Boulevard, Santa Barbara, Santa Barbara County, California, 93103, United States of America",1,san jose_and_san luis obispo.json
dieppe,residential,1,"Dieppe Street, Garden Grove, Orange County, California, 92843, United States of America",1,berkeley_and_riverside.json
las brisas,residential,3,"Las Brisas, Lancaster, Los Angeles County, California, 93551, United States of America",4,"anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_san diego.json,newport beach_and_san diego.json"
memphis,restaurant,4,"Memphis, Randolph Avenue, Costa Mesa, Orange County, California, 92626, United States of America",8,"beverly hills_and_big bear lake.json,fresno_and_los angeles.json,fresno_and_malibu.json,los angeles_and_oakland.json,newport beach_and_san jose.json,newport beach_and_santa barbara.json,newport beach_and_stockton.json,pasadena_and_stockton.json"
lassen,administrative,3,"Lassen County, California, United States of America",10,"avalon_and_mammoth lakes.json,avalon_and_sacramento.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,berkeley_and_riverside.json,irvine_and_sacramento.json,monterey_and_san bernardino.json,san bernardino_and_santa cruz.json,sacramento_and_san bernardino.json,santa clarita_and_stockton.json"
vallejo street,residential,1,"Vallejo Street, Lincoln Heights, Little Tokyo Historic District, LA, Los Angeles County, California, 90031, United States of America",2,"long beach_and_san francisco.json,long beach_and_stockton.json"
santa rosa county,city,1,"Santa Rosa, Sonoma County, California, United States of America",1,beverly hills_and_oakland.json
solbar,restaurant,1,"solbar, Silverado Trail, Larkmead, Napa County, California, 94515, United States of America",4,"anaheim_and_napa.json,bakersfield_and_napa.json,berkeley_and_napa.json,irvine_and_napa.json"
' the virgin river,stream,1,"Virgin Creek, Trinity County, California, United States of America",5,"berkeley_and_big bear lake.json,big bear lake_and_fremont.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_sausalito.json"
mendota,administrative,1,"Mendota, Fresno County, California, United States of America",2,"fresno_and_irvine.json,irvine_and_oakland.json"
fort barry,place_of_worship,2,"Fort Barry Chapel (historical), Bunker Road, Marin City, Marin County, California, 94965, United States of America",2,"long beach_and_sausalito.json,sacramento_and_sausalito.json"
mount mckinley,peak,1,"Mount McKinley, Los Angeles County, California, United States of America",1,beverly hills_and_big bear lake.json
garden gallery,art,1,"The Garden Gallery, 530, Main Street, Half Moon Bay, San Mateo County, California, 94019, United States of America",3,"carlsbad_and_san luis obispo.json,pismo beach_and_sacramento.json,sacramento_and_san luis obispo.json"
fryman canyon,track,1,"Fryman Canyon Hike, Studio City, Valley Village, LA, Los Angeles County, California, 91604, United States of America",1,santa ana_and_santa monica.json
depoe bay,cafe,1,"Depoe Bay Coffee, 893, High Street, Auburn, Placer County, California, 95603, United States of America",1,oakland_and_san diego.json
coyote valley,stream,1,"Coyote Creek, La Mirada, Los Angeles County, California, United States of America",1,malibu_and_san jose.json
tuolumne meadows,suburb,20,"Tuolumne Meadows, Tuolumne County, California, United States of America",32,"anaheim_and_mammoth lakes.json,avalon_and_mammoth lakes.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_san jose.json,berkeley_and_mammoth lakes.json,beverly hills_and_mammoth lakes.json,big bear lake_and_mammoth lakes.json,carlsbad_and_mammoth lakes.json,fremont_and_mammoth lakes.json,fresno_and_los angeles.json,fresno_and_mammoth lakes.json,fresno_and_oakland.json,irvine_and_mammoth lakes.json,los angeles_and_mammoth lakes.json,mammoth lakes_and_monterey.json,mammoth lakes_and_napa.json,mammoth lakes_and_oakland.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san francisco.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa clarita.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_santa monica.json,mammoth lakes_and_stockton.json,mammoth lakes_and_temecula.json,mammoth lakes_and_sausalito.json"
zazu kitchen,restaurant,1,"Zazu Kitchen and Farm, 6770, McKinley Avenue, The Barlow, Sebastopol, Sonoma County, California, 95472, United States of America",3,"los angeles_and_napa.json,napa_and_sacramento.json,napa_and_san francisco.json"
napa valley corporate drive,secondary,3,"Napa Valley Corporate Drive, Napa, Napa County, California, 94558, United States of America",1,huntington beach_and_napa.json
little mermaid,attraction,2,"Little Mermaid: Ariel's Undersea Adventure, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America",32,"berkeley_and_huntington beach.json,big bear lake_and_san jose.json,carlsbad_and_huntington beach.json,carlsbad_and_long beach.json,carlsbad_and_santa ana.json,carlsbad_and_santa barbara.json,carlsbad_and_santa monica.json,huntington beach_and_long beach.json,huntington beach_and_los angeles.json,huntington beach_and_santa ana.json,huntington beach_and_santa barbara.json,huntington beach_and_santa clarita.json,huntington beach_and_santa monica.json,irvine_and_santa barbara.json,carlsbad_and_los angeles.json,huntington beach_and_malibu.json,long beach_and_newport beach.json,los angeles_and_santa ana.json,los angeles_and_santa barbara.json,malibu_and_santa ana.json,long beach_and_santa barbara.json,los angeles_and_newport beach.json,newport beach_and_santa ana.json,newport beach_and_santa barbara.json,newport beach_and_santa clarita.json,newport beach_and_santa monica.json,newport beach_and_stockton.json,pismo beach_and_santa ana.json,santa ana_and_santa barbara.json,santa ana_and_santa monica.json,santa ana_and_stockton.json,santa barbara_and_santa monica.json"
san joaquin valley of california,administrative,1,"San Joaquin County, California, United States of America",1,avalon_and_fresno.json
edna valley vineyard,winery,1,"Edna Valley Vineyard, 2585, Biddle Ranch Road, San Luis Country Club Estates, Edna, San Luis Obispo County, California, 93401, United States of America",8,"long beach_and_san luis obispo.json,napa_and_pismo beach.json,napa_and_san luis obispo.json,newport beach_and_san luis obispo.json,pismo beach_and_san luis obispo.json,pismo beach_and_santa barbara.json,san luis obispo_and_santa barbara.json,san luis obispo_and_temecula.json"
etna,city,1,"Etna, Siskiyou County, California, United States of America",2,"los angeles_and_oakland.json,newport beach_and_san jose.json"
washington irving,residential,1,"Washington Irving Drive, Weimar, Placer County, California, 95713, United States of America",9,"anaheim_and_fresno.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_temecula.json,irvine_and_oakland.json,irvine_and_sacramento.json,fresno_and_riverside.json"
charleston,administrative,13,"Charleston, Harveston, Temecula, Riverside County, California, United States of America",22,"anaheim_and_fremont.json,berkeley_and_long beach.json,avalon_and_santa clarita.json,bakersfield_and_newport beach.json,berkeley_and_santa clarita.json,beverly hills_and_big bear lake.json,fremont_and_newport beach.json,fresno_and_santa ana.json,huntington beach_and_oakland.json,huntington beach_and_santa clarita.json,long beach_and_riverside.json,malibu_and_oakland.json,monterey_and_pasadena.json,newport beach_and_oakland.json,newport beach_and_santa barbara.json,newport beach_and_stockton.json,oakland_and_riverside.json,oakland_and_santa ana.json,pasadena_and_stockton.json,pismo beach_and_san bernardino.json,newport beach_and_sausalito.json,san luis obispo_and_santa clarita.json"
niobrara river,residential,1,"Niobrara Avenue, Stockton, San Joaquin County, California, 95206, United States of America",1,fremont_and_irvine.json
fort miley,service,1,"Fort Miley 3, Seacliff, SF, California, 94121-1545, United States of America",2,"napa_and_san diego.json,napa_and_san francisco.json"
heritage hill historical park,park,1,"Heritage Hill Historical Park, Serrano Road, Foothill Ranch, Lake Forest, Orange County, California, 92630, United States of America",2,"irvine_and_sacramento.json,sacramento_and_san bernardino.json"
la jolla coast,beach,1,"La Jolla Cove, Coast Boulevard, La Jolla, San Diego, San Diego County, California, 92037, United States of America",1,riverside_and_san diego.json
gioia pizzeria,restaurant,1,"Gioia Pizzeria, 2238;2240, Polk Street, Russian Hill, SF, California, 94109, United States of America",4,"berkeley_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_sacramento.json,berkeley_and_fremont.json"
california desert,residential,1,"California Drive, Palm Desert, Riverside County, California, 92211, United States of America",13,"anaheim_and_san francisco.json,avalon_and_san bernardino.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_san bernardino.json,beverly hills_and_temecula.json,carlsbad_and_san bernardino.json,carlsbad_and_los angeles.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json"
santa monica bay,bay,17,"Santa Monica Bay, South Bay Bike Path, El Segundo, Los Angeles County, California, 90245, United States of America",32,"avalon_and_beverly hills.json,avalon_and_malibu.json,avalon_and_santa barbara.json,avalon_and_santa monica.json,berkeley_and_malibu.json,berkeley_and_santa monica.json,beverly hills_and_fremont.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_santa ana.json,big bear lake_and_santa monica.json,fremont_and_santa monica.json,irvine_and_santa monica.json,irvine_and_sausalito.json,long beach_and_pasadena.json,long beach_and_santa monica.json,los angeles_and_malibu.json,long beach_and_los angeles.json,long beach_and_malibu.json,los angeles_and_santa ana.json,los angeles_and_santa clarita.json,los angeles_and_santa monica.json,malibu_and_pasadena.json,malibu_and_sacramento.json,malibu_and_santa ana.json,malibu_and_santa monica.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,pasadena_and_santa monica.json,san jose_and_santa monica.json,santa ana_and_santa monica.json,santa clarita_and_santa monica.json"
midpines,hamlet,1,"Midpines, Mariposa County, California, United States of America",1,fresno_and_mammoth lakes.json
broad,stream,1,"Broad Creek, Kern County, California, United States of America",2,"berkeley_and_los angeles.json,fremont_and_los angeles.json"
cornwall,hamlet,2,"Cornwall, Contra Costa County, California, United States of America",3,"fresno_and_irvine.json,long beach_and_sausalito.json,sacramento_and_sausalito.json"
danville,administrative,9,"Danville, Contra Costa County, California, United States of America",36,"berkeley_and_san jose.json,berkeley_and_malibu.json,berkeley_and_napa.json,berkeley_and_riverside.json,berkeley_and_san diego.json,berkeley_and_santa barbara.json,berkeley_and_carlsbad.json,berkeley_and_fremont.json,carlsbad_and_oakland.json,fremont_and_oakland.json,fremont_and_santa barbara.json,fremont_and_santa clarita.json,fresno_and_santa clarita.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_santa cruz.json,los angeles_and_stockton.json,malibu_and_oakland.json,malibu_and_san francisco.json,mammoth lakes_and_napa.json,monterey_and_oakland.json,napa_and_santa barbara.json,los angeles_and_santa cruz.json,oakland_and_riverside.json,oakland_and_san diego.json,oakland_and_san jose.json,oakland_and_santa barbara.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json"
south laguna beach,hamlet,1,"South Laguna, Orange County, California, United States of America",1,fremont_and_irvine.json
soho,residential,2,"Soho View Terrace, San Diego, San Diego County, California, 92105, United States of America",3,"beverly hills_and_san francisco.json,long beach_and_san francisco.json,long beach_and_stockton.json"
magic mountain,peak,11,"Magic Mountain, Ventura County, California, United States of America",30,"anaheim_and_mammoth lakes.json,anaheim_and_san jose.json,anaheim_and_santa clarita.json,avalon_and_big bear lake.json,avalon_and_mammoth lakes.json,beverly hills_and_carlsbad.json,avalon_and_santa clarita.json,bakersfield_and_big bear lake.json,berkeley_and_big bear lake.json,beverly hills_and_fresno.json,beverly hills_and_malibu.json,beverly hills_and_mammoth lakes.json,beverly hills_and_san diego.json,big bear lake_and_fremont.json,big bear lake_and_los angeles.json,big bear lake_and_monterey.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_pasadena.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json,carlsbad_and_santa monica.json,los angeles_and_mammoth lakes.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_santa clarita.json,malibu_and_santa clarita.json,sacramento_and_santa clarita.json,santa ana_and_santa clarita.json,santa clarita_and_sausalito.json,santa clarita_and_stockton.json"
flamingo beach,residential,2,"Flamingo Circle, Huntington Beach, Orange County, California, 92649, United States of America",2,"avalon_and_san jose.json,san jose_and_santa ana.json"
fitzroy gardens,residential,1,"Fitzroy Avenue, Tujunga, LA, Los Angeles County, California, 91042, United States of America",2,"beverly hills_and_san luis obispo.json,newport beach_and_san luis obispo.json"
chabot drive,residential,1,"Chabot Drive, San Bruno, San Mateo County, California, 94066, United States of America",1,santa monica_and_stockton.json
parkfield,hamlet,1,"Parkfield, Monterey County, California, United States of America",1,monterey_and_san luis obispo.json
las virgenes east,residential,1,"Las Virgenes, Fracc. Garcia, Tijuana, Baja California, 22125, México",1,malibu_and_san jose.json
santa susana,hamlet,1,"Santa Susana, Ventura County, California, United States of America",1,san bernardino_and_santa clarita.json
rand camp,beach,1,"Gibson Beach, Gibson Beach access, Carmel Highlands, Monterey County, California, 93922, United States of America",5,"beverly hills_and_pismo beach.json,monterey_and_san diego.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,san luis obispo_and_santa clarita.json"
mission boulevard,secondary,6,"Mission Boulevard, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",22,"anaheim_and_carlsbad.json,anaheim_and_san diego.json,avalon_and_carlsbad.json,avalon_and_san diego.json,avalon_and_temecula.json,bakersfield_and_san diego.json,bakersfield_and_temecula.json,berkeley_and_carlsbad.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san jose.json,carlsbad_and_temecula.json,fremont_and_san bernardino.json,fresno_and_san diego.json,monterey_and_san diego.json,riverside_and_san diego.json,san diego_and_san jose.json,san diego_and_stockton.json,san diego_and_temecula.json,san jose_and_temecula.json"
san gabriel canyon road,secondary,1,"San Gabriel Canyon Road, Azusa, Los Angeles County, California, 91702, United States of America",9,"anaheim_and_beverly hills.json,avalon_and_beverly hills.json,beverly hills_and_fresno.json,beverly hills_and_oakland.json,beverly hills_and_pasadena.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_stockton.json,pasadena_and_san francisco.json"
lido,island,2,"Lido Island, Newport Beach, Orange County, California, United States of America",6,"beverly hills_and_san luis obispo.json,napa_and_pismo beach.json,newport beach_and_san luis obispo.json,pasadena_and_pismo beach.json,pismo beach_and_temecula.json,san luis obispo_and_temecula.json"
harry road,secondary,2,"Harry Road, Almaden, San José, Santa Clara County, California, 95120, United States of America",3,"mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
koll center,yes,1,"Koll Center, West Broadway, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",1,santa monica_and_stockton.json
beryl street,secondary,1,"Beryl Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",11,"anaheim_and_carlsbad.json,avalon_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_temecula.json,berkeley_and_carlsbad.json,beverly hills_and_temecula.json,carlsbad_and_newport beach.json,carlsbad_and_riverside.json,carlsbad_and_san jose.json,carlsbad_and_temecula.json,san jose_and_temecula.json"
lake merritt,station,8,"Lake Merritt, 9th Street, Chinatown, Oakland, Alameda County, California, 94607, United States of America",10,"avalon_and_oakland.json,berkeley_and_san jose.json,berkeley_and_oakland.json,berkeley_and_san francisco.json,big bear lake_and_oakland.json,fremont_and_monterey.json,fremont_and_oakland.json,long beach_and_oakland.json,oakland_and_sacramento.json,oakland_and_temecula.json"
shaw ave,residential,1,"Shaw Avenue, North Shafter, Shafter, Kern County, California, 93263, United States of America",1,fresno_and_san francisco.json
heritage valley,museum,1,"Heritage Square, Pasadena Freeway, Dayton Avenue, Highland Park, LA, Los Angeles County, California, 90031, United States of America",3,"beverly hills_and_santa clarita.json,long beach_and_santa clarita.json,los angeles_and_santa clarita.json"
tule lake,wetland,1,"Tule Lake, Bergman Road, Siskiyou County, California, 96134, United States of America",5,"malibu_and_san jose.json,pasadena_and_sacramento.json,riverside_and_san jose.json,sacramento_and_temecula.json,san jose_and_temecula.json"
hillhurst ave.,secondary,2,"Hillhurst Avenue, Los Feliz, Little Armenia, LA, Los Angeles County, California, 90027, United States of America",2,"beverly hills_and_pasadena.json,beverly hills_and_riverside.json"
