"mention_name@blogNonCitySrc","mention_type@blogNonCitySrc","mention_popularity@blogNonCitySrc","mention_address@blogNonCitySrc","zip_code@blogNonCitySrc","mention_longitude@blogNonCitySrc","mention_latitude@blogNonCitySrc","no_of_blogFiles@blogNonCitySrc","mention_found_in_blogFiles@blogNonCitySrc","attraction_name@tripAdvMentionsSrc","attraction_knownFor@tripAdvMentionsSrc","attraction_reviewComment@tripAdvMentionsSrc","attraction_ranking@tripAdvMentionsSrc","attraction_no_of_reviews@tripAdvMentionsSrc","attraction_contact@tripAdvMentionsSrc","attraction_in@tripAdvMentionsSrc","attraction_address@tripAdvMentionsSrc","zip_code@tripAdvMentionsSrc","attraction_longitude@tripAdvMentionsSrc","attraction_latitude@tripAdvMentionsSrc","attraction_url@tripAdvMentionsSrc","attraction_in_file@tripAdvMentionsSrc","youTubeLinkIds@tripAdvMentionsSrc","Confidence"
"orange empire railway museum","museum","1","""Orange Empire Railway Museum, Georgia Street, Perris, Riverside County, California, United States of America""","","-117.2330019","33.7605517","5","""avalon_and_temecula.json,fremont_and_temecula.json,sacramento_and_temecula.json,san diego_and_temecula.json,oakland_and_temecula.json""","Orange Empire Railway Museum","""Specialty Museums , Museums""","I enjoyed my visit to Orange Empire. It was almost 100 degrees but we still walked most of the property. Lots of Trolleys and a few rail cars. We rode the PCC and it circled the... read more","2","80","951-943-3020","Perris","""2201 S a St , Perris , CA 92570-9318""","92570","","","https://www.tripadvisor.com/Attraction_Review-g32872-d106332-Reviews-Orange_Empire_Railway_Museum-Perris_California.html","perris.json","""V9yKb5OWJDw,ucfFw90tCac,rSfg-I9ylJA""","100"
"edna valley vineyard","winery","1","""Edna Valley Vineyard, 2585, Biddle Ranch Road, San Luis Country Club Estates, Edna, San Luis Obispo County, California, 93401, United States of America""","93401","-120.607695901918","35.2169423","8","""long beach_and_san luis obispo.json,napa_and_pismo beach.json,napa_and_san luis obispo.json,newport beach_and_san luis obispo.json,pismo beach_and_san luis obispo.json,pismo beach_and_santa barbara.json,san luis obispo_and_santa barbara.json,san luis obispo_and_temecula.json""","Edna Valley Vineyard","""Wineries & Vineyards , Food & Drink""","""We enjoy stopping here to visit the gift shop -- great s lectionaries of specialty vinegars and some olive oils. Our favorite -- the Cabernet chocolate sauce, Yum! The front patio... read more""","12","72","+1 805-544-5855","San Luis Obispo","""2585 Biddle Ranch Rd , San Luis Obispo , CA 93401-8319""","93401","","","https://www.tripadvisor.com/Attraction_Review-g33026-d531934-Reviews-Edna_Valley_Vineyard-San_Luis_Obispo_San_Luis_Obispo_County_California.html","san_luis_obispo.json","""mLVsSpH0Z-k,KcrcaIAzXOY,517rK2SV9M8""","100"
"santa barbara islands","yes","1","""Santa Cruz Hall, 548, Channel Islands Road, Isla Vista, Santa Barbara County, California, 93106, United States of America""","93106","-119.843454706356","34.4098841","1","santa ana_and_santa barbara.json","Santa Barbara Island","""“ Worth the boatride over ” Reviewed January 25, 2012 It's a beautiful place to see in nature. I've seen the island as part of a whale watch and tour. If you get a chance to visit this island, I would take it. Helpful? 3 Thank rita2seahorse Report""","","7","","","Channel Islands National Park","","","","","https://www.tripadvisor.com/Attraction_Review-g143019-d555352-Reviews-Santa_Barbara_Island-Channel_Islands_National_Park_California.html","channel_islands_national_park.json","""3qCq5pG5hPY,qCoiVMXE_cI,FB0K8tgQ8K4""","100"
"palm springs aerial tramway","post_box","2","""Palm Springs Aerial Tramway, Tramway Road, Palm Springs, Riverside County, California, 92262, United States of America""","92262","-116.5582394","33.8579307","2","""big bear lake_and_san jose.json,santa clarita_and_sausalito.json""","Palm Springs Aerial Tramway","""Tramways , Scenic Railroads , Tours , Transportation ""","""Great views from the tram and from the top. Lots of hiking trails. Thirty degrees cooler, so make sure that you are properly equiped.""","1","""5,789""","760-325-1391","Palm Springs","""1 Tramway Rd , Palm Springs , CA 92262""","92262","","","https://www.tripadvisor.com/Attraction_Review-g32847-d104111-Reviews-Palm_Springs_Aerial_Tramway-Palm_Springs_California.html","palm_springs.json","""Gl3c9oJ4etM,Vhyx3UL0cFo,btko4PZ3VfM""","100"
"temecula museum","museum","1","""Temecula Museum, Mercedes Street, Villa Del Sol, Old Town, Temecula, Riverside County, California, 92590, United States of America""","92590","-117.150998325","33.4974472","5","""anaheim_and_temecula.json,los angeles_and_temecula.json,san diego_and_temecula.json,san jose_and_temecula.json,stockton_and_temecula.json""","Temecula Museum","""Specialty Museums , Museums""","History buffs will appreciate the well prserved photos and local artifacts that are well prserved. Definitely worth the look.","28","56","+1 951-694-6450","Temecula","""28314 Mercedes St , Temecula , CA 92590-1837""","28314","","","https://www.tripadvisor.com/Attraction_Review-g33165-d1873733-Reviews-Temecula_Museum-Temecula_California.html","temecula.json","""X39GV6dMgLU,WHHy7liWl_I,lVmqsmRAaZw""","100"
"glass beach","beach","3","""Glass Beach, Ka Kahleh Trail, Fort Bragg, Mendocino County, California, 95437, United States of America""","95437","-123.8131628","39.4530301","5","""fresno_and_oakland.json,long beach_and_oakland.json,long beach_and_sacramento.json,long beach_and_stockton.json,newport beach_and_sausalito.json""","Glass Beach","","""While people say that the glass quantity is declining, there's still enough there to take some great photos and enjoy the experience. Follow the path to the beach and head left to... read more""","3","""1,373""","","Fort Bragg","""Elm Street and Glass Beach Drive , Santa Maria Ca , Fort Bragg , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32400-d103760-Reviews-Glass_Beach-Fort_Bragg_Mendocino_County_California.html","fort_bragg.json","""dTKTzCVNIco,wb2Bby3I50Y,251s5Z8VhGc""","100"
"california science center","museum","10","""California Science Center, 700, Exposition Park Drive, Jefferson, LA, Los Angeles County, California, 90037, United States of America""","90037","-118.286286870567","34.0159757","42","""anaheim_and_los angeles.json,anaheim_and_sausalito.json,avalon_and_monterey.json,bakersfield_and_los angeles.json,berkeley_and_los angeles.json,beverly hills_and_fremont.json,beverly hills_and_los angeles.json,beverly hills_and_pasadena.json,fremont_and_los angeles.json,fresno_and_los angeles.json,huntington beach_and_monterey.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_sausalito.json,irvine_and_los angeles.json,irvine_and_monterey.json,irvine_and_san diego.json,irvine_and_santa barbara.json,irvine_and_sausalito.json,carlsbad_and_los angeles.json,long beach_and_pasadena.json,los angeles_and_malibu.json,los angeles_and_mammoth lakes.json,los angeles_and_napa.json,long beach_and_los angeles.json,los angeles_and_oakland.json,los angeles_and_pasadena.json,los angeles_and_riverside.json,los angeles_and_sacramento.json,los angeles_and_san bernardino.json,los angeles_and_santa clarita.json,los angeles_and_santa monica.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,mammoth lakes_and_san diego.json,monterey_and_san diego.json,monterey_and_santa barbara.json,san bernardino_and_santa monica.json,san diego_and_sausalito.json,san francisco_and_santa barbara.json,santa barbara_and_sausalito.json,santa monica_and_sausalito.json""","California Science Center","""Science Museums , Museums ""","you cannot help but be impressed and in aww of such a fabulous piece of science. That ordinary people can go to see something so close up that has been into space and back is... read more","5","""2,703""","+1 323-724-3623","Los Angeles","""700 Exposition Park Drive , Los Angeles , CA 90037-1254""","90037","","","https://www.tripadvisor.com/Attraction_Review-g32655-d106164-Reviews-California_Science_Center-Los_Angeles_California.html","los_angeles.json","""twWCuzsoEIY,n-37FjRBUb4,Sw2SJdZdzZQ""","100"
"bay area discovery museum","museum","4","""Bay Area Discovery Museum, East Road, Belvedere Island, Marin County, California, 94965, United States of America""","94965","-122.4770556","37.8357085","20","""anaheim_and_sausalito.json,avalon_and_monterey.json,berkeley_and_fremont.json,fremont_and_sausalito.json,huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_sausalito.json,irvine_and_monterey.json,irvine_and_sausalito.json,long beach_and_sausalito.json,los angeles_and_sausalito.json,monterey_and_san diego.json,monterey_and_santa barbara.json,napa_and_santa cruz.json,oakland_and_san jose.json,san bernardino_and_sausalito.json,san diego_and_sausalito.json,san francisco_and_santa barbara.json,santa barbara_and_sausalito.json,santa monica_and_sausalito.json""","Bay Area Discovery Museum","""Children's Museums , Science Museums , Specialty Museums , Museums , More""","We got a Groupon to here and decided to go on a Saturday. Since there driver from home is over an hour we reached only by 11 am and initially I thought that we might not have... read more","8","166","415-339-3900","Sausalito","""557 McReynolds Rd , Sausalito , CA 94965-2614""","94965","","","https://www.tripadvisor.com/Attraction_Review-g33062-d103953-Reviews-Bay_Area_Discovery_Museum-Sausalito_Marin_County_California.html","sausalito.json","""FaAo_xFow3M,f3EWecrhj2g""","100"
"willow glen","suburb","1","""Willow Glen, San Jos��, Santa Clara County, California, United States of America""","","-121.889677","37.3085532","1","fresno_and_san jose.json","Willow Glen","""Neighborhoods , Other, Sights & Landmarks""","""Great shopping, wonderful boutiques and beauty parlors, plenty of restaurants, and cute clean storefronts. You can easily spend the whole day wandering around and... read more""","12","102","+1 408-298-2100","San Jose","""1261 Lincoln Ave , Suite 217 , San Jose , CA 95125-3006""","95125","","","https://www.tripadvisor.com/Attraction_Review-g33020-d3337122-Reviews-Willow_Glen-San_Jose_California.html","san_jose.json","""ed0AVYlDVcY,rnp0_XKU9ew,7uK1fn-i9HU""","100"
"balboa pier","footway","2","""Balboa Pier, Balboa Island, Newport Beach, Orange County, California, 92661, United States of America""","92661","-117.900634920065","33.5995462","6","""avalon_and_malibu.json,long beach_and_newport beach.json,long beach_and_santa monica.json,long beach_and_malibu.json,malibu_and_newport beach.json,los angeles_and_newport beach.json""","Balboa Pier","""Piers & Boardwalks , Points of Interest & Landmarks , Sights & Landmarks""","""In the fall/winter season, this place has nice sunsets, and sometimes you can watch dolphins, whales, sea lions and seals.""","7","199","+1 949-675-8600","Newport Beach","""50 Main Street , Newport Beach , CA 92661""","92661","-117.899446","33.6019951","https://www.tripadvisor.com/Attraction_Review-g32780-d4695690-Reviews-Balboa_Pier-Newport_Beach_California.html","newport_beach.json","""p7abSExQ-10,p9Wh_EWbQE0,gGBtS8pSIKM""","100"
"beverly gardens park","park","4","""Beverly Gardens Park, Park Way, Beverly Hills, Los Angeles County, California, 90210, United States of America""","90210","-118.40346205","34.0723509","4","""beverly hills_and_sausalito.json,beverly hills_and_pasadena.json,beverly hills_and_santa ana.json,san bernardino_and_santa monica.json""","Beverly Gardens Park","","I loved this park and good for the couple. I recommend for visit here at the evening. It has awesome playgrounds for kids. So perfect small family outing.","7","49","","Beverly Hills","""Santa Monica Blvd , Beverly Hills , CA""","","-118.3990298","34.074846","https://www.tripadvisor.com/Attraction_Review-g32070-d10264861-Reviews-Beverly_Gardens_Park-Beverly_Hills_California.html","beverly_hills.json","""DIRbIAJ4BE8,kakTxvhuPiU,bM6OCOUN-e0""","100"
"california state railroad museum","museum","13","""California State Railroad Museum, 125, I Street, Sacramento, Sacramento County, California, 95814, United States of America""","95814","-121.5038909","38.5846424","37","""anaheim_and_napa.json,avalon_and_santa cruz.json,bakersfield_and_sacramento.json,berkeley_and_sacramento.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_santa cruz.json,fremont_and_sacramento.json,fresno_and_sacramento.json,fresno_and_santa cruz.json,long beach_and_oakland.json,los angeles_and_napa.json,monterey_and_oakland.json,monterey_and_sacramento.json,monterey_and_temecula.json,napa_and_sacramento.json,napa_and_san jose.json,napa_and_san luis obispo.json,napa_and_santa cruz.json,napa_and_santa monica.json,napa_and_temecula.json,oakland_and_sacramento.json,oakland_and_san luis obispo.json,oakland_and_stockton.json,riverside_and_sacramento.json,sacramento_and_san jose.json,sacramento_and_san luis obispo.json,sacramento_and_santa cruz.json,sacramento_and_temecula.json,san francisco_and_temecula.json,sacramento_and_san diego.json,sacramento_and_san francisco.json,san jose_and_temecula.json,san luis obispo_and_santa cruz.json,san luis obispo_and_temecula.json,santa cruz_and_temecula.json,sausalito_and_temecula.json""","California State Railroad Museum","""Specialty Museums , Museums""","""A great way to spend the morning or afternoon with something for everyone looking forward to see what they do for Christmas, a must do if your in or around Sacramento and it's in... read more""","1","""1,864""","916-323-9280","Sacramento","""111 I St , Sacramento , CA 95814-2204""","95814","","","https://www.tripadvisor.com/Attraction_Review-g32999-d102772-Reviews-California_State_Railroad_Museum-Sacramento_California.html","sacramento.json","""s9QyeJkmbRE,BbHf7QbsCUw,LW1AWNKI2GI""","100"
"lake arrowhead village","retail","3","""Lake Arrowhead Village, Lake Arrowhead, San Bernardino County, California, 92352, United States of America""","92352","-117.189172517683","34.25158015","7","""bakersfield_and_big bear lake.json,big bear lake_and_los angeles.json,big bear lake_and_pasadena.json,big bear lake_and_santa monica.json,big bear lake_and_stockton.json,big bear lake_and_san bernardino.json,los angeles_and_stockton.json""","Lake Arrowhead Village","","""Enjoyed walking around the shops and restaurants in the village. Shop employees were very friendly, not pushy at all. Was a warm day for the lake but parking was easy to find in... read more""","2","82","","Lake Arrowhead","""28200 Highway 189 , Lake Arrowhead , CA 92352-9700""","28200","","","https://www.tripadvisor.com/Attraction_Review-g32593-d7063122-Reviews-Lake_Arrowhead_Village-Lake_Arrowhead_California.html","lake_arrowhead.json","""cAah8Lo_jII,-ojJoTriuXg,Om9OT9LATTo""","100"
"folsom lake state recreation area","park","1","""Folsom Lake State Recreation Area, Sky Way, Granite Bay, Placer County, California, 95746, United States of America""","95746","-121.1330016","38.7315688","2","""oakland_and_stockton.json,riverside_and_sacramento.json""","Folsom Lake State Recreation Area","","""I live in Folsom, so I visit Folsom Lake often. This State Recreational Area (SRA) covers a vast expanse around the lake, so it encompasses many different facilities. 1. Folsom... read more""","6","66","+1 916-988-0205","Folsom","""7806 Auburn-Folsom Road , Folsom , CA 95630""","95630","","","https://www.tripadvisor.com/Attraction_Review-g32389-d142870-Reviews-Folsom_Lake_State_Recreation_Area-Folsom_California.html","folsom.json","Vw1uHrzcJqM","100"
"venice pier","attraction","1","""Venice Fishing Pier, Washington Boulevard, Venice, LA, Los Angeles County, California, 90292, United States of America""","90292","-118.469068182659","33.97777045","2","""los angeles_and_malibu.json,long beach_and_los angeles.json""","Venice Pier","","""The Venice Pier is in a beautiful and scenic setting. It's a relaxing place to stroll and enjoy the views. It was not busy at all when we were there, maybe a handful of people... read more""","102","40","","Los Angeles","""Washington Blvd and Ocean Front Walk , Los Angeles , CA 90291""","90291","","","https://www.tripadvisor.com/Attraction_Review-g32655-d8474502-Reviews-Venice_Pier-Los_Angeles_California.html","los_angeles.json","""yCZE2Ir-WZA,IuiWuvY2COY,E69kNlNSkjw""","100"
"oceanside pier","footway","1","""Oceanside Pier, Oceanside, San Diego County, California, 92054, United States of America""","92054","-117.3847012","33.1941095","4","""carlsbad_and_riverside.json,carlsbad_and_santa monica.json,carlsbad_and_los angeles.json,san diego_and_santa monica.json""","Oceanside Pier","""Piers & Boardwalks , Historic Walking Areas , Sights & Landmarks""","""The pier screams everything you would expect -- the sounds and smells of the ocean, surfers, fisherman, wooden planks to walk across.""","2","""1,250""","+1 760-467-4565","Oceanside","""300 S Pacific St , Oceanside , CA 92054-2922""","92054","","","https://www.tripadvisor.com/Attraction_Review-g32815-d526165-Reviews-Oceanside_Pier-Oceanside_California.html","oceanside.json","""6vN2-2Ko1e4,Cv1p217SgyM,BQ-zd_QF7sw""","100"
"tomales point trail","path","1","""Tomales Point Trail, Vincent Landing, Marin County, California, 94953, United States of America""","94953","-122.9740353","38.2133239","1","san jose_and_sausalito.json","Tomales Point Trail","""Hiking Trails , Outdoor Activities , Nature & Parks""","We try to do this hike every time we can. Do the complete hike to the end and the vistas are great. Bring lunch and water.","7","45","+1 415-464-5100 ext. 2","Point Reyes Station","""Pierce Point Road , Point Reyes National Seashore , Point Reyes Station , CA 94956""","94956","","","https://www.tripadvisor.com/Attraction_Review-g32908-d4293066-Reviews-Tomales_Point_Trail-Point_Reyes_Station_Marin_County_California.html","point_reyes_station.json","""i0Fh8b7wj5k,fZpNSzDP54g,Y18Pmi9FgC8""","100"
"lodi lake park","park","1","""Lodi Lake Park, Turner Road, Lodi, San Joaquin County, California, 95241, United States of America""","95241","-121.2991146","38.147974","1","sacramento_and_stockton.json","Lodi Lake Park","""Bodies of Water , Hiking Trails , Biking Trails , Nature & Parks , Outdoor Activities , More""","Lodi lake park. What a beautiful addition to an already lovely city such as Lodi. From the lake to the almost 1 to 1 1/2 miles of wooded area towards the backside of the park... read more","2","50","","Lodi","""1101 West Turner Road , Lodi , CA 95240""","95240","","","https://www.tripadvisor.com/Attraction_Review-g32640-d7689572-Reviews-Lodi_Lake_Park-Lodi_California.html","lodi.json","""RuDKgdGLJMQ,XJ7pAspBqN8,g7cZJfmUEH8""","100"
"tourmaline surfing park","park","1","""Tourmaline Surfing Park, Chelsea Street, Pacific Beach, San Diego, San Diego County, California, 92037, United States of America""","92037","-117.263621054939","32.8071305","1","huntington beach_and_san diego.json","Tourmaline Surfing Park","","Perfect place to see local surfers enjoying their favorite sport. You can watch surfing any time of the day.","28","33","","La Jolla","""Mission Boulevard North , About 16 km (10 miles) northwest of San Diego , La Jolla , San Diego , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32578-d156630-Reviews-Tourmaline_Surfing_Park-La_Jolla_San_Diego_California.html","la_jolla.json","""jthS5eJ0RJY,IzN0E5LV2c8,ibUWC_Hbe04""","100"
"mojave river forks regional park","camp_site","1","""Mojave River Forks Regional Park, CA 173, Hesperia, San Bernardino County, California, 92345, United States of America""","92345","-117.2659348","34.3304324","1","mammoth lakes_and_san bernardino.json","Mojave River Forks Regional Park","","Nice place especially since they rebuilt the dam and Horseshoe Lake is back. Also there are always a lot of people fishing great place for birding","2","8","+1 760-389-2322","Hesperia","""18395 State Highway 173 , Hesperia , CA 92345-9735""","18395","","","https://www.tripadvisor.com/Attraction_Review-g32491-d3187670-Reviews-Mojave_River_Forks_Regional_Park-Hesperia_California.html","hesperia.json","""yG3DcaPSqOk,bSNsoIVN_gc,u6i08UDfx_Q""","100"
"old towne temecula","retail","1","""Redhawk Towne Center at Vail Ranch, Redhawk, Temecula, Riverside County, California, 92592, United States of America""","92592","-117.096962264578","33.4799984","1","long beach_and_temecula.json","Old Town Temecula","""Neighborhoods , Sights & Landmarks , Other""","Great shopping. Antique stores are amazing. Also enjoyed the Olive Oil Co; Lavender Store and the greart restaurants.","2","""1,184""","+1 619-269-5779","Temecula","""Temecula , CA""","","-117.147366","33.4946353","https://www.tripadvisor.com/Attraction_Review-g33165-d605085-Reviews-Old_Town_Temecula-Temecula_California.html","temecula.json","""HOQVpA4Uq5Q,mwv2nZYAKag,8y1WELSlsS4""","100"
"victoria beach","beach","3","""Victoria Beach, Lagunita Drive, Montage Resort & Spa, Laguna Beach, Orange County, California, 92651, United States of America""","92651","-117.762036120946","33.51833175","4","""malibu_and_pismo beach.json,pismo beach_and_san diego.json,pismo beach_and_santa monica.json,pismo beach_and_sausalito.json""","Victoria Beach","","Worth at least a quick stop in to see the tower which I did. However very nice beach too spend the day at as well. Some nice rocks and man made wall near the tower to explore. The... read more","13","33","","Laguna Beach","""VIctoria Drive , Laguna Beach , CA 92652""","92652","","","https://www.tripadvisor.com/Attraction_Review-g32588-d8629424-Reviews-Victoria_Beach-Laguna_Beach_California.html","laguna_beach.json","""sbwwgNyy7gM,UUq_bclnYgg,mUj96AiUS0w""","100"
"naples island","island","3","""Naples Islands, Long Beach, Los Angeles County, California, United States of America""","","-118.1232477","33.7559024","45","""anaheim_and_malibu.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_long beach.json,carlsbad_and_malibu.json,carlsbad_and_newport beach.json,carlsbad_and_san jose.json,carlsbad_and_santa monica.json,huntington beach_and_los angeles.json,huntington beach_and_mammoth lakes.json,huntington beach_and_monterey.json,huntington beach_and_sacramento.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_santa monica.json,irvine_and_long beach.json,irvine_and_los angeles.json,irvine_and_sacramento.json,irvine_and_santa monica.json,carlsbad_and_los angeles.json,huntington beach_and_malibu.json,irvine_and_temecula.json,long beach_and_san diego.json,long beach_and_los angeles.json,los angeles_and_san diego.json,los angeles_and_san francisco.json,los angeles_and_temecula.json,malibu_and_newport beach.json,malibu_and_san francisco.json,malibu_and_santa ana.json,los angeles_and_newport beach.json,monterey_and_newport beach.json,newport beach_and_sacramento.json,newport beach_and_san diego.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_santa monica.json,newport beach_and_temecula.json,pasadena_and_sacramento.json,pasadena_and_san diego.json,sacramento_and_santa monica.json,san diego_and_santa monica.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,santa monica_and_temecula.json""","Naples Island","""Islands , Nature & Parks""","The canal was gorgeous. We rented hydrobikes and biked around the canal. The water and scenery was gorgeous.","4","237","","Long Beach","""Long Beach , CA 90803""","90803","-118.109578","33.7573294","https://www.tripadvisor.com/Attraction_Review-g32648-d285035-Reviews-Naples_Island-Long_Beach_California.html","long_beach.json","""MTBKzEppzHY,b3gcBdOo6HE,VSCZG1rtvEo""","100"
"riverbend plaza","hamlet","1","""Riverbend, Fresno County, California, United States of America""","","-119.5112414","36.7568949","1","long beach_and_napa.json","Riverbend Plaza","","We had ice cream and bought some meat and cheese here for are hotel room to snack on. Lots of little shops with great options","98","17","707-251-WILL","Napa","""500 Main St. , Napa , CA 94559""","94559","-122.282663","38.295891","https://www.tripadvisor.com/Attraction_Review-g32766-d282854-Reviews-Riverbend_Plaza-Napa_Napa_Valley_California.html","napa.json","""BIO7Ao3i-4g,QBtIZKbFzKE,9l_k1VqDDcI""","100"
"deep creek hot springs","spring","1","""Deep Creek Hot Springs, PCT - Section C, Green Valley Lake, San Bernardino County, California, 92341, United States of America""","92341","-117.1770351","34.3394243","1","big bear lake_and_san bernardino.json","Deep Creek Hot Springs","","My fiancé and I went there with a little trepidation after reading the reviews. The drive in along the dirt road was bumpy. We only had a Sudan but we made by going slow. The guy... read more","4","21","+1 909-382-2600","San Bernardino","""San Bernardino , CA 92408""","92408","-117.3054711","34.0820914","https://www.tripadvisor.com/Attraction_Review-g33009-d4268204-Reviews-Deep_Creek_Hot_Springs-San_Bernardino_California.html","san_bernardino.json","""HF7ATJxX_ZE,kgWDKH5PqUc,d0f4dFhF_rw""","100"
"humboldt bay","bay","3","""Humboldt Bay, King Salmon Avenue, Humboldt Bay Power Plant, King Salmon, Humboldt County, California, 95503, United States of America""","95503","-124.2095056","40.7498484","8","""malibu_and_san jose.json,monterey_and_temecula.json,malibu_and_monterey.json,pasadena_and_sacramento.json,riverside_and_san francisco.json,sacramento_and_temecula.json,san diego_and_sausalito.json,san jose_and_temecula.json""","Humboldt Bay","""Bodies of Water , Nature & Parks""","""After visiting, my husband and I decided to pack up and move here from southern Orange County! We love the peace and quiet and the beautiful scenery.""","5","81","","Eureka","""Eureka , CA""","","-124.1636728","40.8020712","https://www.tripadvisor.com/Attraction_Review-g32363-d254730-Reviews-Humboldt_Bay-Eureka_Humboldt_County_California.html","eureka.json","""AUIiX7D1KDc,Z4lA6UcYKTw,wU5bDa4kgcE""","100"
"indian rock park","park","1","""Indian Rock Park, 950, Indian Rock Avenue, Northbrae, Berkeley, Alameda County, California, 94707, United States of America""","94707","-122.272988060644","37.8921682","5","""berkeley_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_oakland.json,berkeley_and_sacramento.json,berkeley_and_fremont.json""","Indian Rock Park","Nature & Parks","""I live around the corner from the park, so it has been part of our family's life for over 30 years. It is a three story high boulder of Berkely Rhyolite with steps notched into... read more""","7","86","+1 510-981-6700","Berkeley","""950 Indian Rock Ave , Berkeley , CA 94707-2002""","94707","","","https://www.tripadvisor.com/Attraction_Review-g32066-d2412229-Reviews-Indian_Rock_Park-Berkeley_California.html","berkeley.json","""dQXWliuJLBg,HtXNHwwansE,OxqaUaf5Rpw""","100"
"big trees trail","path","1","""Big Trees Trail, Oakland, Alameda County, California, 94619, United States of America""","94619","-122.1793661","37.8123365","4","""avalon_and_mammoth lakes.json,los angeles_and_mammoth lakes.json,long beach_and_mammoth lakes.json,mammoth lakes_and_pasadena.json""","Big Trees Trail","","Great short paved trail around Round Meadow. My favorite place to relax on a bench in May to watch bears feeding in the meadow.","21","39","","Sequoia and Kings Canyon National Park","""Hwy 198 , Sequoia National Park , Sequoia and Kings Canyon National Park, CA""","","","","https://www.tripadvisor.com/Attraction_Review-g143050-d4718519-Reviews-Big_Trees_Trail-Sequoia_and_Kings_Canyon_National_Park_California.html","sequoia_and_kings_canyon_national_park.json","""2KrmaRFDR6g,a1zeGNZ4a1Q,0d-8HUVgFpk""","100"
"casa de fruta","restaurant","1","""Casa de Fruta, Casa de Fruta Parkway, San Felipe, Santa Clara County, California, United States of America""","","-121.3824509","36.9882491","1","fresno_and_sausalito.json","Casa de Fruta","","""Casa de Fruta is conveniently located on route 152, and is well worth a stop. The fruitstand is amazing and worth pictures. They have a surprising selection of fruits, nuts... read more""","1","29","(408) 842-7282","Hollister","""10021 Pacheco Pass Hwy , Hollister , CA 95023-9541""","10021","","","https://www.tripadvisor.com/Attraction_Review-g32498-d9581524-Reviews-Casa_de_Fruta-Hollister_California.html","hollister.json","""M3JrKtrggys,ae1NqFDZboQ,SB9Ut4i5GVs""","100"
"moonstone drive","residential","3","""Moonstone Drive, Rose Hill, Highland Park, LA, Los Angeles County, California, 90032, United States of America""","90032","-118.1949773","34.078796","25","""anaheim_and_san luis obispo.json,berkeley_and_san luis obispo.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_san luis obispo.json,fremont_and_san luis obispo.json,irvine_and_san luis obispo.json,long beach_and_pismo beach.json,long beach_and_sacramento.json,long beach_and_san luis obispo.json,los angeles_and_monterey.json,los angeles_and_san diego.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_santa barbara.json,oakland_and_san luis obispo.json,pasadena_and_san luis obispo.json,pasadena_and_santa barbara.json,pismo beach_and_san jose.json,riverside_and_san luis obispo.json,sacramento_and_san luis obispo.json,san francisco_and_santa barbara.json,san jose_and_santa barbara.json,oakland_and_pismo beach.json,san luis obispo_and_stockton.json""","Moonstone Drive","""Scenic Drives , Sights & Landmarks , Outdoor Activities""","""Wonderful views of the ocean, cliffs, rocks, distant mountains. However, why not park the car and walk on the boardwalk or the beach? The boardwalk is well maintained, there are... read more""","2","447","","Cambria","""Moonstone Beach Drive , Cambria , CA 93428""","93428","-121.1086501","35.5693811","https://www.tripadvisor.com/Attraction_Review-g32148-d288083-Reviews-Moonstone_Drive-Cambria_San_Luis_Obispo_County_California.html","cambria.json","""aLzdtOcscx0,K_ph6knRmPg,mldG03jI3i8""","100"
"cuyamaca rancho state park","park","2","""Cuyamaca Rancho State Park, Highway 79, Guatay, San Diego County, California, 92036, United States of America""","92036","-116.591579345466","32.86396725","17","""anaheim_and_carlsbad.json,anaheim_and_san francisco.json,avalon_and_carlsbad.json,avalon_and_san diego.json,bakersfield_and_san bernardino.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_los angeles.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json""","Cuyamaca Rancho State Park","","Couldn't stay long here but long enough to want to go back. Just a beautiful drive we ended up taking from the Salton Sea into San Diego. We even saw some Wild Turkeys running... read more","1","44","+1 760-765-0755","Descanso","""12551 Highway 79 , Descanso , CA 91916-9731""","12551","","","https://www.tripadvisor.com/Attraction_Review-g32291-d288407-Reviews-Cuyamaca_Rancho_State_Park-Descanso_California.html","descanso.json","""BNvSDOu_rX0,DZeFseimYIQ,nYUoY68Wjxo""","100"
