mention_name,mention_type,mention_popularity,mention_address,no_of_blogFiles,mention_found_in_blogFiles
fremont route,city,3,"Fremont, Alameda County, California, United States of America",2,"beverly hills_and_fremont.json,fremont_and_santa clarita.json"
x9csurf city usa,city,2,"Redwood City, San Mateo County, California, United States of America",2,"huntington beach_and_sacramento.json,huntington beach_and_santa cruz.json"
sunnyvale,city,20,"Sunnyvale, Santa Clara County, California, United States of America",43,"avalon_and_monterey.json,berkeley_and_san jose.json,bakersfield_and_sausalito.json,berkeley_and_fremont.json,fremont_and_monterey.json,fremont_and_napa.json,fremont_and_oakland.json,fremont_and_sacramento.json,fremont_and_san francisco.json,fremont_and_san jose.json,fremont_and_santa barbara.json,fremont_and_sausalito.json,fresno_and_san jose.json,fresno_and_santa clarita.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_santa cruz.json,long beach_and_oakland.json,los angeles_and_stockton.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,monterey_and_san jose.json,los angeles_and_santa cruz.json,oakland_and_san jose.json,oakland_and_stockton.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa clarita.json,san bernardino_and_san jose.json,san bernardino_and_san luis obispo.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,san jose_and_santa clarita.json,san jose_and_santa cruz.json,sacramento_and_san bernardino.json,sacramento_and_san francisco.json,san jose_and_stockton.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json"
n. la brea,city,1,"Brea, Orange County, California, United States of America",2,"beverly hills_and_san diego.json,beverly hills_and_san francisco.json"
stockton route,city,4,"Stockton, San Joaquin County, California, United States of America",3,"napa_and_stockton.json,oakland_and_stockton.json,stockton_and_temecula.json"
rancho cucamonga,city,7,"Rancho Cucamonga, San Bernardino County, California, United States of America",11,"bakersfield_and_long beach.json,beverly hills_and_big bear lake.json,big bear lake_and_santa monica.json,fresno_and_san bernardino.json,long beach_and_oakland.json,long beach_and_san bernardino.json,oakland_and_san bernardino.json,san bernardino_and_santa ana.json,san bernardino_and_temecula.json,big bear lake_and_huntington beach.json,stockton_and_temecula.json"
santa barbara point,city,2,"Santa Barbara, Santa Barbara County, California, United States of America",4,"big bear lake_and_santa clarita.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
salinas valley,city,10,"Salinas, Monterey County, California, United States of America",63,"anaheim_and_santa cruz.json,avalon_and_monterey.json,berkeley_and_long beach.json,bakersfield_and_oakland.json,bakersfield_and_san diego.json,bakersfield_and_san jose.json,berkeley_and_monterey.json,beverly hills_and_oakland.json,beverly hills_and_san jose.json,fremont_and_fresno.json,fremont_and_los angeles.json,fremont_and_san diego.json,fremont_and_san luis obispo.json,fremont_and_santa cruz.json,fresno_and_huntington beach.json,fresno_and_long beach.json,fresno_and_san diego.json,fresno_and_san luis obispo.json,fresno_and_santa ana.json,fresno_and_santa cruz.json,irvine_and_monterey.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,irvine_and_santa cruz.json,fresno_and_riverside.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,los angeles_and_san jose.json,los angeles_and_san luis obispo.json,los angeles_and_stockton.json,malibu_and_stockton.json,mammoth lakes_and_sacramento.json,monterey_and_riverside.json,monterey_and_san bernardino.json,monterey_and_san jose.json,monterey_and_santa barbara.json,napa_and_santa barbara.json,los angeles_and_santa cruz.json,newport beach_and_san luis obispo.json,newport beach_and_santa cruz.json,oakland_and_san luis obispo.json,oakland_and_santa cruz.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa clarita.json,sacramento_and_santa cruz.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa cruz.json,san diego_and_san luis obispo.json,san diego_and_santa cruz.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,san jose_and_san luis obispo.json,irvine_and_stockton.json,san jose_and_stockton.json,san luis obispo_and_stockton.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa cruz_and_stockton.json"
calistoga & napa valley,city,1,"Calistoga, Napa County, California, United States of America",1,malibu_and_napa.json
city of los angeles,city,1,"LA, Los Angeles County, California, United States of America",19,"bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json"
santa barbara,city,313,"Santa Barbara, Santa Barbara County, California, United States of America",343,"anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_mammoth lakes.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_pismo beach.json,anaheim_and_sacramento.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa barbara.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,avalon_and_bakersfield.json,avalon_and_berkeley.json,avalon_and_monterey.json,avalon_and_napa.json,avalon_and_oakland.json,avalon_and_pismo beach.json,avalon_and_san jose.json,avalon_and_san luis obispo.json,anaheim_and_napa.json,avalon_and_malibu.json,bakersfield_and_san bernardino.json,berkeley_and_long beach.json,beverly hills_and_pismo beach.json,avalon_and_santa barbara.json,avalon_and_santa clarita.json,avalon_and_santa cruz.json,avalon_and_sausalito.json,bakersfield_and_berkeley.json,bakersfield_and_beverly hills.json,bakersfield_and_fremont.json,bakersfield_and_fresno.json,bakersfield_and_long beach.json,bakersfield_and_los angeles.json,bakersfield_and_malibu.json,bakersfield_and_monterey.json,bakersfield_and_newport beach.json,bakersfield_and_oakland.json,bakersfield_and_pismo beach.json,bakersfield_and_san diego.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,bakersfield_and_santa ana.json,bakersfield_and_santa barbara.json,bakersfield_and_santa clarita.json,bakersfield_and_santa cruz.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_newport beach.json,berkeley_and_pasadena.json,berkeley_and_pismo beach.json,berkeley_and_riverside.json,berkeley_and_san diego.json,berkeley_and_san luis obispo.json,berkeley_and_santa ana.json,berkeley_and_santa barbara.json,berkeley_and_santa clarita.json,berkeley_and_santa monica.json,beverly hills_and_big bear lake.json,berkeley_and_big bear lake.json,berkeley_and_carlsbad.json,berkeley_and_fresno.json,berkeley_and_huntington beach.json,berkeley_and_irvine.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_malibu.json,beverly hills_and_mammoth lakes.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa barbara.json,beverly hills_and_santa cruz.json,beverly hills_and_stockton.json,beverly hills_and_temecula.json,big bear lake_and_pismo beach.json,big bear lake_and_san jose.json,big bear lake_and_san luis obispo.json,big bear lake_and_santa barbara.json,big bear lake_and_santa clarita.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,big bear lake_and_stockton.json,carlsbad_and_monterey.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_pismo beach.json,carlsbad_and_san jose.json,carlsbad_and_santa barbara.json,carlsbad_and_santa cruz.json,carlsbad_and_santa monica.json,fremont_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_newport beach.json,fremont_and_pasadena.json,fremont_and_pismo beach.json,fremont_and_san diego.json,fremont_and_san luis obispo.json,fremont_and_santa barbara.json,fremont_and_santa clarita.json,fremont_and_santa monica.json,fremont_and_temecula.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_pismo beach.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san francisco.json,fresno_and_san luis obispo.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa clarita.json,fresno_and_santa monica.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_pismo beach.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,huntington beach_and_sausalito.json,huntington beach_and_stockton.json,irvine_and_monterey.json,irvine_and_napa.json,irvine_and_oakland.json,irvine_and_pismo beach.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,irvine_and_santa barbara.json,irvine_and_santa cruz.json,irvine_and_sausalito.json,carlsbad_and_san luis obispo.json,fresno_and_riverside.json,huntington beach_and_san jose.json,long beach_and_napa.json,long beach_and_oakland.json,long beach_and_pismo beach.json,long beach_and_sacramento.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa cruz.json,long beach_and_sausalito.json,long beach_and_stockton.json,los angeles_and_malibu.json,los angeles_and_mammoth lakes.json,los angeles_and_monterey.json,los angeles_and_napa.json,los angeles_and_oakland.json,los angeles_and_pismo beach.json,los angeles_and_sacramento.json,los angeles_and_san diego.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_san luis obispo.json,los angeles_and_santa barbara.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_napa.json,malibu_and_oakland.json,malibu_and_pasadena.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_santa monica.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa clarita.json,mammoth lakes_and_santa monica.json,monterey_and_pasadena.json,monterey_and_pismo beach.json,monterey_and_riverside.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_san luis obispo.json,monterey_and_santa ana.json,monterey_and_santa barbara.json,monterey_and_santa clarita.json,monterey_and_temecula.json,napa_and_newport beach.json,napa_and_pasadena.json,napa_and_pismo beach.json,napa_and_san bernardino.json,napa_and_san diego.json,napa_and_san luis obispo.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,malibu_and_santa clarita.json,mammoth lakes_and_pismo beach.json,monterey_and_newport beach.json,monterey_and_santa monica.json,napa_and_temecula.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,newport beach_and_santa cruz.json,newport beach_and_stockton.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san bernardino.json,oakland_and_san diego.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa clarita.json,oakland_and_santa monica.json,pasadena_and_pismo beach.json,pasadena_and_sacramento.json,pasadena_and_san diego.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_san luis obispo.json,pasadena_and_santa barbara.json,pasadena_and_santa cruz.json,pasadena_and_stockton.json,pismo beach_and_riverside.json,pismo beach_and_sacramento.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa ana.json,pismo beach_and_santa barbara.json,pismo beach_and_santa clarita.json,pismo beach_and_santa cruz.json,pismo beach_and_santa monica.json,pismo beach_and_sausalito.json,pismo beach_and_stockton.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_san jose.json,riverside_and_san luis obispo.json,riverside_and_santa barbara.json,riverside_and_santa clarita.json,riverside_and_santa cruz.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,sacramento_and_temecula.json,san bernardino_and_san francisco.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa cruz.json,san bernardino_and_sausalito.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_santa clarita.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa ana.json,san jose_and_santa barbara.json,san jose_and_santa clarita.json,sacramento_and_san bernardino.json,sacramento_and_san diego.json,newport beach_and_pismo beach.json,newport beach_and_sausalito.json,oakland_and_pismo beach.json,oakland_and_temecula.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,irvine_and_stockton.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa barbara.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,san luis obispo_and_sausalito.json,san luis obispo_and_stockton.json,san luis obispo_and_temecula.json,santa ana_and_santa barbara.json,santa ana_and_santa cruz.json,santa ana_and_sausalito.json,santa ana_and_stockton.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_sausalito.json,santa barbara_and_stockton.json,santa barbara_and_temecula.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json,santa cruz_and_santa monica.json,santa cruz_and_temecula.json,santa monica_and_sausalito.json,santa monica_and_stockton.json,santa monica_and_temecula.json,sausalito_and_temecula.json,stockton_and_temecula.json"
guadalupe valley,city,1,"San José, Santa Clara County, California, United States of America",1,carlsbad_and_napa.json
long pine,city,1,"Long Beach, Los Angeles County, California, United States of America",1,los angeles_and_mammoth lakes.json
villa park,city,3,"Villa Park, Orange County, California, United States of America",15,"anaheim_and_huntington beach.json,anaheim_and_irvine.json,anaheim_and_newport beach.json,anaheim_and_riverside.json,anaheim_and_santa ana.json,fremont_and_santa ana.json,huntington beach_and_santa ana.json,long beach_and_newport beach.json,long beach_and_santa ana.json,los angeles_and_santa ana.json,newport beach_and_santa ana.json,oakland_and_santa ana.json,pasadena_and_santa ana.json,sacramento_and_santa ana.json,san diego_and_santa ana.json"
los altos,city,5,"Los Altos, Santa Clara County, California, United States of America",17,"berkeley_and_fremont.json,fremont_and_san jose.json,irvine_and_san jose.json,irvine_and_santa cruz.json,huntington beach_and_san jose.json,los angeles_and_stockton.json,napa_and_santa cruz.json,los angeles_and_santa cruz.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa cruz.json,riverside_and_stockton.json,sacramento_and_santa clarita.json,san francisco_and_santa ana.json,san francisco_and_santa clarita.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json"
newport beach - orange county california,city,1,"Newport Beach, Orange County, California, United States of America",1,irvine_and_sacramento.json
long beach california,city,1,"Long Beach, Los Angeles County, California, United States of America",1,long beach_and_pasadena.json
stockton,city,51,"Stockton, San Joaquin County, California, United States of America",49,"avalon_and_stockton.json,bakersfield_and_sacramento.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_san diego.json,berkeley_and_santa barbara.json,berkeley_and_stockton.json,berkeley_and_fresno.json,big bear lake_and_stockton.json,carlsbad_and_stockton.json,fremont_and_sacramento.json,fremont_and_san bernardino.json,fremont_and_stockton.json,fresno_and_pismo beach.json,fresno_and_san diego.json,fresno_and_san francisco.json,fresno_and_santa barbara.json,fresno_and_stockton.json,huntington beach_and_stockton.json,long beach_and_sacramento.json,malibu_and_stockton.json,mammoth lakes_and_monterey.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san jose.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa cruz.json,monterey_and_stockton.json,mammoth lakes_and_pismo beach.json,napa_and_stockton.json,newport beach_and_stockton.json,oakland_and_sacramento.json,oakland_and_stockton.json,pasadena_and_stockton.json,pismo beach_and_stockton.json,sacramento_and_stockton.json,san francisco_and_stockton.json,san bernardino_and_stockton.json,irvine_and_stockton.json,san jose_and_stockton.json,santa ana_and_stockton.json,santa barbara_and_stockton.json,santa clarita_and_stockton.json,santa monica_and_stockton.json,sausalito_and_stockton.json,stockton_and_temecula.json"
american canyon,city,2,"American Canyon, Napa County, California, United States of America",3,"napa_and_riverside.json,napa_and_santa clarita.json,napa_and_temecula.json"
half moon bay,city,27,"Half Moon Bay, San Mateo County, California, United States of America",138,"anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa cruz.json,anaheim_and_stockton.json,avalon_and_monterey.json,avalon_and_san jose.json,avalon_and_san luis obispo.json,avalon_and_santa cruz.json,berkeley_and_newport beach.json,berkeley_and_pismo beach.json,berkeley_and_riverside.json,berkeley_and_huntington beach.json,beverly hills_and_napa.json,beverly hills_and_san francisco.json,big bear lake_and_san luis obispo.json,carlsbad_and_san jose.json,carlsbad_and_santa cruz.json,fremont_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_monterey.json,fremont_and_newport beach.json,fremont_and_pasadena.json,fremont_and_pismo beach.json,fremont_and_san francisco.json,fremont_and_san luis obispo.json,fremont_and_santa barbara.json,fremont_and_santa cruz.json,fremont_and_santa monica.json,fresno_and_los angeles.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,irvine_and_monterey.json,irvine_and_pismo beach.json,irvine_and_san jose.json,irvine_and_santa cruz.json,carlsbad_and_san luis obispo.json,huntington beach_and_san jose.json,long beach_and_napa.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_santa cruz.json,long beach_and_stockton.json,los angeles_and_monterey.json,los angeles_and_oakland.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa cruz.json,malibu_and_stockton.json,monterey_and_pasadena.json,monterey_and_pismo beach.json,monterey_and_sacramento.json,monterey_and_san diego.json,monterey_and_san jose.json,monterey_and_san luis obispo.json,monterey_and_santa barbara.json,monterey_and_santa clarita.json,monterey_and_stockton.json,napa_and_newport beach.json,napa_and_pismo beach.json,napa_and_san diego.json,napa_and_san luis obispo.json,napa_and_santa ana.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,long beach_and_monterey.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa cruz.json,newport beach_and_stockton.json,oakland_and_san diego.json,oakland_and_san jose.json,oakland_and_san luis obispo.json,oakland_and_santa cruz.json,oakland_and_santa monica.json,pasadena_and_san francisco.json,pasadena_and_santa cruz.json,pasadena_and_stockton.json,pismo beach_and_riverside.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_santa cruz.json,pismo beach_and_sausalito.json,pismo beach_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san bernardino_and_san francisco.json,san bernardino_and_san luis obispo.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa cruz.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa cruz.json,san francisco_and_santa monica.json,san francisco_and_stockton.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa barbara.json,san jose_and_santa clarita.json,oakland_and_pismo beach.json,san jose_and_santa monica.json,san jose_and_sausalito.json,san jose_and_stockton.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa cruz.json,san luis obispo_and_stockton.json,santa ana_and_santa cruz.json,santa barbara_and_santa cruz.json,santa barbara_and_stockton.json,santa cruz_and_santa monica.json,santa cruz_and_stockton.json,santa monica_and_stockton.json,stockton_and_temecula.json"
ft. bragg,city,2,"Fort Bragg, Mendocino County, California, United States of America",4,"mammoth lakes_and_sacramento.json,mammoth lakes_and_san diego.json,santa barbara_and_sausalito.json,santa monica_and_sausalito.json"
concord,city,9,"Concord, Contra Costa County, California, United States of America",19,"berkeley_and_monterey.json,berkeley_and_sacramento.json,berkeley_and_santa barbara.json,berkeley_and_stockton.json,berkeley_and_fremont.json,fremont_and_oakland.json,fremont_and_sacramento.json,fremont_and_san francisco.json,fremont_and_sausalito.json,irvine_and_mammoth lakes.json,long beach_and_oakland.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,napa_and_riverside.json,napa_and_santa clarita.json,oakland_and_san jose.json,oakland_and_santa barbara.json,sacramento_and_san francisco.json"
huron river,city,2,"Huron, Fresno County, California, United States of America",3,"avalon_and_oakland.json,berkeley_and_irvine.json,beverly hills_and_oakland.json"
amador city,city,1,"Amador City, Amador County, California, United States of America",4,"avalon_and_mammoth lakes.json,mammoth lakes_and_napa.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san jose.json"
mount livermore,city,1,"Livermore, Alameda County, California, United States of America",1,berkeley_and_riverside.json
santa barbara valley,city,1,"Santa Barbara, Santa Barbara County, California, United States of America",2,"pismo beach_and_sausalito.json,san diego_and_sausalito.json"
san buenaventura,city,2,"Ventura, Ventura County, California, United States of America",34,"anaheim_and_bakersfield.json,anaheim_and_santa cruz.json,bakersfield_and_long beach.json,bakersfield_and_oakland.json,bakersfield_and_san diego.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,fremont_and_los angeles.json,fremont_and_san diego.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san luis obispo.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,fresno_and_riverside.json,long beach_and_oakland.json,long beach_and_san diego.json,long beach_and_san jose.json,los angeles_and_san jose.json,monterey_and_riverside.json,monterey_and_san bernardino.json,los angeles_and_santa cruz.json,newport beach_and_santa cruz.json,oakland_and_san bernardino.json,oakland_and_san luis obispo.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,san bernardino_and_santa cruz.json,san diego_and_san luis obispo.json,san diego_and_santa cruz.json,san diego_and_stockton.json,san jose_and_san luis obispo.json,irvine_and_stockton.json,san luis obispo_and_stockton.json"
sierra madre,city,4,"Sierra Madre, Los Angeles County, California, United States of America",22,"avalon_and_pasadena.json,beverly hills_and_sausalito.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json"
