attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_url,attraction_in_file
Bhatkal Beach,,"Since, we had a day at our disposal while at murdeshwar wanted to explore Bhatkal... 20 minutes by road ...The City has the old world charm and new a Gulf money malls and... read more",3,2,,Bhatkal,"Uttara Kannada District , Bhatkal , India",https://www.tripadvisor.com/Attraction_Review-g2287549-d3912974-Reviews-Bhatkal_Beach-Bhatkal_Karnataka.html,bhatkal.json
Jamia Masjid,,,12,,,Chitradurga,"Chitradurga Centre , Chitradurga , India",https://www.tripadvisor.com/Attraction_Review-g1676032-d3217909-Reviews-Jamia_Masjid-Chitradurga_Karnataka.html,chitradurga.json
Gayatri Jalashaya,,,10,,,Chitradurga,"Near Suvarnamukhi River , Chitradurga , India",https://www.tripadvisor.com/Attraction_Review-g1676032-d4153071-Reviews-Gayatri_Jalashaya-Chitradurga_Karnataka.html,chitradurga.json
Dasaratha Rameshwara,,,11,,,Chitradurga,"Hosadurga Taluk , Chitradurga , India",https://www.tripadvisor.com/Attraction_Review-g1676032-d4138540-Reviews-Dasaratha_Rameshwara-Chitradurga_Karnataka.html,chitradurga.json
Adumalleshwara Temple,"“ A Nice Temple ” Reviewed January 23, 2014 This is where the Zoo is. This gives us good peace of mind after seeing the pathetic conditions of the animals in the enclosure and the seeing the people poke and tease the leopards. Helpful? 6 Thank Vvd2010 Report",,7,2,,Chitradurga,,https://www.tripadvisor.com/Attraction_Review-g1676032-d4138542-Reviews-Adumalleshwara_Temple-Chitradurga_Karnataka.html,chitradurga.json
Bathi Gudda,,A picnic spot not far away from the urbanized Davangere nestled in the lap of nature. A small hill that can still prove to be an adventurous climb. An accompanying lake side that... read more,2,3,,Davangere,"Near Bathi Lake | 5 Km From Harihara , Davangere , India",https://www.tripadvisor.com/Attraction_Review-g2531360-d4138667-Reviews-Bathi_Gudda-Davangere_Karnataka.html,davangere.json
Kunduvada Kere,,Super place for jogging . Super place for teenagers. Super place for photography. All must visit once.,1,8,,Davangere,"Near Pune-Bangalore NH-4 Bypass Road | Near Kundwada village , Davangere , India",https://www.tripadvisor.com/Attraction_Review-g2531360-d4138666-Reviews-Kunduvada_Kere-Davangere_Karnataka.html,davangere.json
Doddahotrangappa Hill,"“ Rustic, isolated, challenging but beautiful from above! ” Reviewed December 28, 2015 The name sounds weird. There is not much info available on the public domain on this place. Just one detailed blog by one person on his blog page. That’s all. That’s what set it up for me to go finding this place. Doddahotterangappa Betta! (which means The hill of Rangappa with a big fat belly in Kannada language). Even its... More Helpful? 4 Thank Ravi_Aparanji Report",,8,,,Chitradurga,,https://www.tripadvisor.com/Attraction_Review-g1676032-d3187427-Reviews-Doddahotrangappa_Hill-Chitradurga_Karnataka.html,chitradurga.json
Vani Vilas Sagar Dam,"Dams , Nature & Parks","VaniVilas Sagar, is a beautiful place to visit, quiet, peaceful and clean. One can walk down from the upper end of the dam and reach the lower end, walking on the dam. There is a... read more",2,45,,Chitradurga,"Hiriyur , Chitradurga , India",https://www.tripadvisor.com/Attraction_Review-g1676032-d2513281-Reviews-Vani_Vilas_Sagar_Dam-Chitradurga_Karnataka.html,chitradurga.json
Kugo Bande and Shouting Rock,,Try out the echo point as well which is behind the hill. It will take 45 min to reach behind the old temple show here in the photo.,6,2,,Chitradurga,"Molakalmuru , Chitradurga , India",https://www.tripadvisor.com/Attraction_Review-g1676032-d3732953-Reviews-Kugo_Bande_and_Shouting_Rock-Chitradurga_Karnataka.html,chitradurga.json
Ankali Mutt,,"This was my first visiti, and 3rd on Itinerary on my visit to Chitradurga, i took a guide for complete trip fort/zoo/ankalimut They are constructing new entry road to the... read more",3,16,,Chitradurga,"3 Km From Main City , Chitradurga , India",https://www.tripadvisor.com/Attraction_Review-g1676032-d4138537-Reviews-Ankali_Mutt-Chitradurga_Karnataka.html,chitradurga.json
Group of Monuments in Pattadakal,"Historic Sites , Sights & Landmarks",Beautiful temples!! Make sure you first visit the Museum in Badami and spend some time reading the history and learn about the key monuments. Over time I have realized it so much... read more,1,125,,Pattadakal,"Pattadakal , India",https://www.tripadvisor.com/Attraction_Review-g1534516-d1534514-Reviews-Group_of_Monuments_in_Pattadakal-Pattadakal_Karnataka.html,pattadakal.json
Trikuteshwara Temple,,"This temple tells us how proud our culture and heritage was. One can see the technology too, the updown shadow of the main gopura which reflects in a wall through a small hole... read more",1,8,,Gadag,"Gadag Village , Gadag , India",https://www.tripadvisor.com/Attraction_Review-g2285480-d3239387-Reviews-Trikuteshwara_Temple-Gadag_Karnataka.html,gadag.json
Hanuman Temple,,"be prepared to climb about 600 steps, but boy the views on top are amazing! it is also very over-whelming to be standing on the spot where lord hanuman was born. the temple... read more",1,8,,Koppal,"Koppal Rd , Koppal , India",https://www.tripadvisor.com/Attraction_Review-g2285350-d8774953-Reviews-Hanuman_Temple-Koppal_Karnataka.html,koppal.json
Papanatha Temple,,"Stories and lot of images are craved on the pillars of the temple. Temple belongs to God ""Shiva"". Temple built in Dravida style.",3,8,,Pattadakal,"24 Km from Badami Railway Station , Pattadakal , India",https://www.tripadvisor.com/Attraction_Review-g1534516-d3705328-Reviews-Papanatha_Temple-Pattadakal_Karnataka.html,pattadakal.json
Badami Cave Temples,"Ancient Ruins , Sacred & Religious Sites , Historic Sites , Caverns & Caves , Nature & Parks , Sights & Landmarks , More","Caves are well built, neat and clean. Carvings are very minute and better than ajanta and ellora, but not gigantic like ajanta and ellora. Four caves are in same line and needs 2... read more",1,392,,Badami,"| Badami , Badami , India",https://www.tripadvisor.com/Attraction_Review-g1143919-d1022211-Reviews-Badami_Cave_Temples-Badami_Karnataka.html,badami.json
Tungabhadra Gardens and Dam,,We had 5 hours in our hand before catching the train back to Mumbai. So we decided to visit TBD. You can avoid visiting this place and rather spend more time in Hampi I suggest... read more,1,297,9845287127,Hospet,"Dam Road Near Railway Stop | Near Hospet , Hospet 583201 , India",https://www.tripadvisor.com/Attraction_Review-g966755-d1307672-Reviews-Tungabhadra_Gardens_and_Dam-Hospet_Karnataka.html,hospet.json
Veer Narayana Temple,,Worth the visit! Not much to see outside but the idol is lovely! The priest is Avery pleasant man who answers all your queries with patience,4,2,,Gadag,"Near Hubli , Gadag , India",https://www.tripadvisor.com/Attraction_Review-g2285480-d4138605-Reviews-Veer_Narayana_Temple-Gadag_Karnataka.html,gadag.json
Vithala Temple Complex,"Sacred & Religious Sites , Historic Sites , Sights & Landmarks",This is one of the best place to visit in Hampi. The premises is well maintained and eco friendly buggies are provided to the visitors for a small charge to visit this temple... read more,1,655,+91 82773 35218,Hampi,"Bellary District , Hampi , India",https://www.tripadvisor.com/Attraction_Review-g319725-d1752251-Reviews-Vithala_Temple_Complex-Hampi_Karnataka.html,hampi.json
Koppal Fort,,it is situated near in koppal town.small road can reach the fort.road is not good. when we visited the entrance and others not maintained well.need to walk. when going... read more,5,2,,Koppal,"On The Banks Of Hirehalla River , Koppal , India",https://www.tripadvisor.com/Attraction_Review-g2285350-d4138610-Reviews-Koppal_Fort-Koppal_Karnataka.html,koppal.json
Gavisiddeshwara Temple,"“ A very old temple with a mutt(monastery) ” Reviewed June 6, 2016 via mobile It is famous for gavisiddheswara temple and the mutt they have lot of education and music institutions run under their trust Helpful? Thank Madan N Report",,4,3,,Koppal,,https://www.tripadvisor.com/Attraction_Review-g2285350-d2649419-Reviews-Gavisiddeshwara_Temple-Koppal_Karnataka.html,koppal.json
Jain Temple Pattadakal,,Another beautiful temple which seems curiously well preserved in some places. Though environmental erosion has taken a toll on all the monuments at Pattadakal,4,9,,Pattadakal,"Pattadakal-Badami Road , Pattadakal , India",https://www.tripadvisor.com/Attraction_Review-g1534516-d3217759-Reviews-Jain_Temple_Pattadakal-Pattadakal_Karnataka.html,pattadakal.json
Huligemma Temple,,This Place is located in Munirabad near Hospet just after the express way tollgate from koppal. I have been to Huligi a lot of time since my childhood and it has changed a lot... read more,3,3,,Koppal,"Munirabad , Koppal , India",https://www.tripadvisor.com/Attraction_Review-g2285350-d4138611-Reviews-Huligemma_Temple-Koppal_Karnataka.html,koppal.json
Matanga Hill,"Mountains , Nature & Parks",This place is owsome and very few people do go there quit risky and long walk but once you reach the top so the feeling is more then expected..,3,223,+91 82773 35218,Hampi,"Hampi , India",https://www.tripadvisor.com/Attraction_Review-g319725-d3705674-Reviews-Matanga_Hill-Hampi_Karnataka.html,hampi.json
Monkey Temple,"Sacred & Religious Sites , Sights & Landmarks",To reach the temple you have to go through 575 step and the best time to visit early morning or lave evening...afternoon its quit hot. If you are solo traveler so be careful from... read more,5,313,,Hampi,"Anjenaya Hill , Hampi , India",https://www.tripadvisor.com/Attraction_Review-g319725-d3705613-Reviews-Monkey_Temple-Hampi_Karnataka.html,hampi.json
Monolith Bull,,"I liked the serenity around this place, it’s situated just where you start ascending to Matanga hill. Also, it’s beautiful to see how the bull is crafted from 1 stone and still... read more",26,48,,Hampi,"Hampi Bazaar , Hampi , India",https://www.tripadvisor.com/Attraction_Review-g319725-d3705737-Reviews-Monolith_Bull-Hampi_Karnataka.html,hampi.json
Virupaksha Temple,"Sacred & Religious Sites , Sights & Landmarks",We could not see the actual deity of the temple since it was closed during lunch hours. There are far better temples than this one but this one has historical significance as... read more,4,340,,Hampi,"Hampi , India",https://www.tripadvisor.com/Attraction_Review-g319725-d483004-Reviews-Virupaksha_Temple-Hampi_Karnataka.html,hampi.json
Group of Monuments at Hampi,,"We hired a local guide for half a day in the first half.Started with the Sasivekalu Ganesha, Hema kuta complex with a great view. We visited again in the evening to view the... read more",2,223,,Hampi,"| Southern Bank of the River Tungabhadra , Hampi 583239 , India",https://www.tripadvisor.com/Attraction_Review-g319725-d8425108-Reviews-Group_of_Monuments_at_Hampi-Hampi_Karnataka.html,hampi.json
Kadalekai Ganesha,"Points of Interest & Landmarks , Sights & Landmarks","This is a single stone a large Ganesha Idol, Partially Damaged by Mogul Dynasty. Beautiful Idol housed inside the Temple closure. From the back side of the Idol we can see his... read more",22,36,,Hampi,"Bazaar Street , Hampi , India",https://www.tripadvisor.com/Attraction_Review-g319725-d7265567-Reviews-Kadalekai_Ganesha-Hampi_Karnataka.html,hampi.json
Zanana Enclosure,"Points of Interest & Landmarks , Sights & Landmarks","Part of a group of monuments, near lotus temple, Underground Siva temple, Queens bath, Stepped tank and others!",15,98,,Hampi,"Near Lotus Palace , Hampi , India",https://www.tripadvisor.com/Attraction_Review-g319725-d3250722-Reviews-Zanana_Enclosure-Hampi_Karnataka.html,hampi.json
Sasivekalu Ganesha Temple,"Sacred & Religious Sites , Sights & Landmarks",Nice place & history. Its good to start the tour here because the guides are easily available. As the idol's trunk is broken it's not worshiped now. Must see place.,17,79,919986050416,Hampi,"Foot of Hemakuta Hill , Hampi , India",https://www.tripadvisor.com/Attraction_Review-g319725-d4138625-Reviews-Sasivekalu_Ganesha_Temple-Hampi_Karnataka.html,hampi.json
Elephant Stables,"Historic Sites , Points of Interest & Landmarks , Architectural Buildings , Sights & Landmarks , More","The Elephant Stables are the prominent part of the Janana Enclave,It is well maintained and taken care of. Eleven Elephants could be kept in the stables of which the kings... read more",8,326,,Hampi,"Hampi , India",https://www.tripadvisor.com/Attraction_Review-g319725-d3187628-Reviews-Elephant_Stables-Hampi_Karnataka.html,hampi.json
Hemakuta Hill Temple Complex,"Architectural Buildings , Sights & Landmarks",This is a small hill near the Virupaksha Temple. There are lot of small temples and mantaps in this area. The sunset from this hill is very beautiful and must watch in Hampi. The... read more,13,96,,Hampi,"Centre Of The City , Hampi , India",https://www.tripadvisor.com/Attraction_Review-g319725-d3912995-Reviews-Hemakuta_Hill_Temple_Complex-Hampi_Karnataka.html,hampi.json
Achyutaraya Temple,"Sacred & Religious Sites , Sights & Landmarks",Achyutaraya temple complex is one of the 3 large temple complex of erstwhile Vijaynagara empire - the other 2 being the Vitthala Temple complex & Virupaksha temple complex. This... read more,20,58,,Hampi,"Bellary District , Hampi 583239 , India",https://www.tripadvisor.com/Attraction_Review-g319725-d2693707-Reviews-Achyutaraya_Temple-Hampi_Karnataka.html,hampi.json
Balakrishna Temple,,"This temple on way to Virupaksha temple is very beautifully built & is dedicated to Lord Krishna. Outside, there are the remnants of the ancient Kirshna bazaar with all its... read more",24,30,,Hampi,"Bellary District , Hampi 583239 , India",https://www.tripadvisor.com/Attraction_Review-g319725-d2693712-Reviews-Balakrishna_Temple-Hampi_Karnataka.html,hampi.json
Vijayshree Theme Village,"Theme Parks , Water & Amusement Parks","The resort has wide lush green garden encompassing a troop of Welcoming team with song + drink, camel & horse ride, a small magic show, mehendi art, folk dance, circus, puppet... read more",2,44,+91 73533 06708,Hospet,"V.R Bhurat Nagari | Malpangudi,Hampi , Hospet 582301 , India",https://www.tripadvisor.com/Attraction_Review-g966755-d3608241-Reviews-Vijayshree_Theme_Village-Hospet_Karnataka.html,hospet.json
Malegitti Shivalaya Fort and Temple,"Historic Sites , Sights & Landmarks","This is the hill temple near Bhuthnath temple, little hiking needed. Elderly people needs frequent rests while walking above. Steps are carved and very nice and safe place for... read more",4,39,,Badami,"Badami , India",https://www.tripadvisor.com/Attraction_Review-g1143919-d2454258-Reviews-Malegitti_Shivalaya_Fort_and_Temple-Badami_Karnataka.html,badami.json
Mahakuteshwara Temple,,We went here by hiring a rickshaw from badami bus stand. There is no bus to this place. The rickshaw charged us 280 rs. This place is quite remote. It is better to visit this... read more,9,32,80 22352828,Badami,"Mahakuta, Karnataka a 16 Kms de Badami , Badami , India",https://www.tripadvisor.com/Attraction_Review-g1143919-d7061046-Reviews-Mahakuteshwara_Temple-Badami_Karnataka.html,badami.json
Bhuthanatha Temple,"Sacred & Religious Sites , Sights & Landmarks","From Badami fort we can see this place but accessing this place is little tricky, once you down from badami caves, full of local residents occupied this area and has small small... read more",3,81,,Badami,"Bagalkot District | Nr. Agastya Theertha Tank , Badami 587201 , India",https://www.tripadvisor.com/Attraction_Review-g1143919-d2697302-Reviews-Bhuthanatha_Temple-Badami_Karnataka.html,badami.json
Agastya Lake,"Bodies of Water , Nature & Parks","This is very large lake surrounded badami caves, museum, bhuthnaath temple. Accessing this place is little tricky, we can see full view from badami cave once you down full of... read more",2,97,,Badami,"Near Bhuthanatha Temple , Badami , India",https://www.tripadvisor.com/Attraction_Review-g1143919-d4138614-Reviews-Agastya_Lake-Badami_Karnataka.html,badami.json
Sangameshwara Temple,,"Really marvelous, amazed to see this group of temples from various periods. Well maintained by Archeological Survey of India. Only one temple has poojas, other temple has no... read more",5,29,,Badami,"Pattadakal , Badami , India",https://www.tripadvisor.com/Attraction_Review-g1143919-d3705751-Reviews-Sangameshwara_Temple-Badami_Karnataka.html,badami.json
Badami Fort,,Fort is ok. View from form of other hills and lake is amazing. Need to walk a lot and you can have many places for photo shoot.,8,29,,Badami,"Bagalkot District , Badami , India",https://www.tripadvisor.com/Attraction_Review-g1143919-d3912787-Reviews-Badami_Fort-Badami_Karnataka.html,badami.json
Navabrindavanam,,This place is located In-between Tungabhadra river and can be accessed only by boats (can get locally). Get to know the history of this place before you visit. This places is very... read more,2,5,,Koppal,"Sri. Raghavendra Swamy Mutt , Koppal , India",https://www.tripadvisor.com/Attraction_Review-g2285350-d6665724-Reviews-Navabrindavanam-Koppal_Karnataka.html,koppal.json
Basaveshwara Statue,"“ A huge statue inside a park on highway side ” Reviewed August 18, 2016 Gadag has lots of green corridor. There is a park admist the greenery on highway side. This huge statue stands in the center of the park. There are around 40 steps to go up and go around the statue. Helpful? Thank ipsimishra Report",,6,,,Gadag,,https://www.tripadvisor.com/Attraction_Review-g2285480-d10326107-Reviews-Basaveshwara_Statue-Gadag_Karnataka.html,gadag.json
Saraswathi Temple,,"Old Shiva temple and Saraswati temple, excellent stone carvings and every pillar in this temple is different from the other",3,2,,Gadag,"Trikuteshwara Temple Complex , Gadag , India",https://www.tripadvisor.com/Attraction_Review-g2285480-d3704994-Reviews-Saraswathi_Temple-Gadag_Karnataka.html,gadag.json
Brahma Jinalaya,,A temple and a museum that shows off some fine stone art and history of Lakkundi and chalukyas. This place lacks advertisement and good guides.,2,5,,Gadag,"Lakkundi Village , Gadag , India",https://www.tripadvisor.com/Attraction_Review-g2285480-d4138603-Reviews-Brahma_Jinalaya-Gadag_Karnataka.html,gadag.json
Annapurneshwari Temple,"Sacred & Religious Sites , Sights & Landmarks",The road trip to reach this temple was amazing. The temple was neat and clean .Basic lodging is available. also the homestays on he coffee estate are good.,3,74,9440621701,Chikamagalur,"Horanadu, Kudremukh , Chikamagalur , India",https://www.tripadvisor.com/Attraction_Review-g297629-d4138600-Reviews-Annapurneshwari_Temple-Chikamagalur_Karnataka.html,chikamagalur.json
Baba Budan Giri Hills,,Caves: Three large caves said to have been sanctified by three siddhas contain their icons and gaddiges (tombs) and an annual 'jatra' (fair) is held here in their honour. The... read more,13,36,,Chikamagalur,"Dattagiri Hill Range , Chikamagalur , India",https://www.tripadvisor.com/Attraction_Review-g297629-d4138619-Reviews-Baba_Budan_Giri_Hills-Chikamagalur_Karnataka.html,chikamagalur.json
Shiroli Peak,,It was great to see the the western ghats from this point. Visit this place at the time of sunset. The ghats look more beautiful at this time.,7,6,,Dandeli,"Dandeli Wildlife Sanctuary , Dandeli , India",https://www.tripadvisor.com/Attraction_Review-g1156191-d3705295-Reviews-Shiroli_Peak-Dandeli_Karnataka.html,dandeli.json
Kudremukh National Park,"National Parks , Nature & Parks","I've done a lot of long drives through scenic places, inside India and outside. Kudremukh drive beats them all. There are a lot of restrictions and enforcement in place. But the... read more",6,62,+91 82771 47417,Chikamagalur,"Kudremukh , Chikamagalur , India",https://www.tripadvisor.com/Attraction_Review-g297629-d3705228-Reviews-Kudremukh_National_Park-Chikamagalur_Karnataka.html,chikamagalur.json
Hebbe Falls,"Waterfalls , Nature & Parks",We took sharing cab to Hebbe falls from some Kemmanagundi check post. It took around 40 mins of drive and 20 mins walk to reach the falls. Worth spending time and money to go to... read more,7,82,8867550256,Chikamagalur,"Kemmannagundi , Chikamagalur , India",https://www.tripadvisor.com/Attraction_Review-g297629-d3477998-Reviews-Hebbe_Falls-Chikamagalur_Karnataka.html,chikamagalur.json
Z Point,"Lookouts , Sights & Landmarks","this place is 1.5 hours drive from nirvana kutira. we are in clouds. ooty , coorg or what ever... this is unexplored .Must watch.",4,72,,Chikamagalur,"Kemmangundi | Trek from Raj Bhavan , Chikamagalur , India",https://www.tripadvisor.com/Attraction_Review-g297629-d3250719-Reviews-Z_Point-Chikamagalur_Karnataka.html,chikamagalur.json
Baba Budangiri,,Good place to go for a short trip. The place was clean and it was pretty cold over there. Those who are interested in trekking can go for it. For others there is a jeep facility.,5,195,9448900396,Chikamagalur,"Western Ghats , Chikamagalur , India",https://www.tripadvisor.com/Attraction_Review-g297629-d3315536-Reviews-Baba_Budangiri-Chikamagalur_Karnataka.html,chikamagalur.json
Kudremukh Peak,"Mountains , Nature & Parks","Kudremukh is a long trek, worth the pain for its splendid views of grasslands, about 18 kms both ways. Entry fee - 425rs. Stay - There are couple of homestays available at mullodi... read more",8,47,+91 82771 47417,Chikamagalur,"Kudremukh , Chikamagalur , India",https://www.tripadvisor.com/Attraction_Review-g297629-d4151750-Reviews-Kudremukh_Peak-Chikamagalur_Karnataka.html,chikamagalur.json
Bhadra Wildlife Sanctuary,,"Best time to visit is 6 am in the morning. Cost is 400 per person. Route towards the location is lonely and scary early morning, so be prepared.. Ensure that you are on the right... read more",10,93,,Chikamagalur,"Midst Of Western Ghats , Chikamagalur , India",https://www.tripadvisor.com/Attraction_Review-g297629-d4138622-Reviews-Bhadra_Wildlife_Sanctuary-Chikamagalur_Karnataka.html,chikamagalur.json
Dandeli Wildlife Sanctuary,,"Unlike Bandipur, this forest in the Western Ghats is very dense. The forest floor is not visible at all and is covered in bushes. The forest safari is for 2 hours but due to the... read more",2,149,,Dandeli,"Uttara Kannada District , Dandeli 581325 , India",https://www.tripadvisor.com/Attraction_Review-g1156191-d2697906-Reviews-Dandeli_Wildlife_Sanctuary-Dandeli_Karnataka.html,dandeli.json
Anshi National Park,,"U shall enjoy open jeep tours... u can sit in covered area also. Night stay @ Nature camp with children's actvity area is an attraction,... Roads to Yellapur n Karwar... read more",6,21,,Dandeli,"Dandeli , India",https://www.tripadvisor.com/Attraction_Review-g1156191-d5792188-Reviews-Anshi_National_Park-Dandeli_Karnataka.html,dandeli.json
Kavala Caves,,The Kavala Caves has religious significance . Built for penance linked to Mahabharatha. A visit makes gets you a divine bonus. 1000 steps a steep descent and ascent. For the... read more,5,13,,Dandeli,"| Dandeli Wildlife Sanctuary , Dandeli , India",https://www.tripadvisor.com/Attraction_Review-g1156191-d1235154-Reviews-Kavala_Caves-Dandeli_Karnataka.html,dandeli.json
Syntheri Rock,"Points of Interest & Landmarks , Sights & Landmarks",Not very strenuous as I expected it to be. Good tourist spot overall. Information boards about types of rocks useful.,1,131,+91 94487 97270,Dandeli,"Centre Of Dandeli Wildlife Sanctuary , Dandeli , India",https://www.tripadvisor.com/Attraction_Review-g1156191-d4151752-Reviews-Syntheri_Rock-Dandeli_Karnataka.html,dandeli.json
Supa Dam,,"Nice and peaceful place to visit ,Please contact to visit Mr Giriraj Patil 9880273602 dandelitravellia.com",1,30,,Ganeshgudi,"Joida Taluk, Anshi National Park | Across Kalinadi River, Uttara Kannada , Ganeshgudi , India",https://www.tripadvisor.com/Attraction_Review-g2282826-d5788385-Reviews-Supa_Dam-Ganeshgudi_Karnataka.html,ganeshgudi.json
Sykes Point,,"rafting was good, jaquasi was aswom and river crossing was a memorable movement. we all enjoyed the trip",4,30,,Dandeli,"Near Ambikanagar , Dandeli , India",https://www.tripadvisor.com/Attraction_Review-g1156191-d4153096-Reviews-Sykes_Point-Dandeli_Karnataka.html,dandeli.json
Kali River,,Kali River was the best part of my visit to Dandeli. It's really cool with water activities around it.,3,32,,Dandeli,"Dandeli , India",https://www.tripadvisor.com/Attraction_Review-g1156191-d7381116-Reviews-Kali_River-Dandeli_Karnataka.html,dandeli.json
Milagres Church,"Churches & Cathedrals , Sights & Landmarks","Milagres Church is big and very near the railway station and City Centre Mall in Mangalore. Good architecture, grand Catholic church with lot of shops nearby that sell even... read more",12,62,+91 824 242 3522,Mangalore,"Milagres Noor Masjid Road | Hampankatta , Mangalore 575001 , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3444295-Reviews-Milagres_Church-Mangalore_Karnataka.html,mangalore.json
Sammilan Shetty’s Butterfly Park,Nature & Parks,"I got a chance to visit Sammilan Shetty's Butterfly Park Belvai, along with my ""Gurus"", Sanju Kasaragod, Dinesh Insight & Madhav Bhakta, and it was an awesome experience. There... read more",7,98,+91 98459 93292,Mangalore,"Belvai Village Butterfly Park Road | Santhadi House , Mangalore 574213 , India",https://www.tripadvisor.com/Attraction_Review-g297630-d6109347-Reviews-Sammilan_Shetty_s_Butterfly_Park-Mangalore_Karnataka.html,mangalore.json
Rosario Cathedral,,It is a old church in Mangalore.Beautiful and peaceful church....ample car parking available..inside the city easily accessable..,22,22,91 0824-420942,Mangalore,"Rosario Church Road | Bolar , Mangalore 575001 , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3444297-Reviews-Rosario_Cathedral-Mangalore_Karnataka.html,mangalore.json
Bahubali Monolith,,"It's a straight line moderate level straight of stairs climb up. There are quite a few street vendors selling socks to protect your feet, don't fall for it. It was a nice climb to... read more",2,21,,Karkala,"Udupi District , Karkala , India",https://www.tripadvisor.com/Attraction_Review-g858479-d3913081-Reviews-Bahubali_Monolith-Karkala_Karnataka.html,karkala.json
"Saint Sebastian Church, Bendur, Mangalore",,this place is elegent.. the white colour is heart touching. its simply incredible.its so peaceful being here.,30,8,0824 2218762,Mangalore,"Next to St Agnes Institutions, Bendur, Mangalore | Kmc Mercara Trunk Road , Mangalore , India",https://www.tripadvisor.com/Attraction_Review-g297630-d8812661-Reviews-Saint_Sebastian_Church_Bendur_Mangalore-Mangalore_Karnataka.html,mangalore.json
"Holy Cross Church, Cordel",,"its like an old church. simple. quiet,decent location. its spread across a large area. looks better from the inside.",34,7,0824-2231372,Mangalore,"Main Road , Mangalore 575005 , India",https://www.tripadvisor.com/Attraction_Review-g297630-d8812662-Reviews-Holy_Cross_Church_Cordel-Mangalore_Karnataka.html,mangalore.json
St. Francis Xavier Church,,I visit this church every Sunday to offer prayers. I live nearby to this church. Every day two masses and on Sunday's there will be 5 masses. Very old church and named St. Francis... read more,35,8,,Mangalore,"Bejai Main Road | Bejai , Mangalore , India",https://www.tripadvisor.com/Attraction_Review-g297630-d8799853-Reviews-St_Francis_Xavier_Church-Mangalore_Karnataka.html,mangalore.json
St. Lawrence Church,,St. Lawrence Shrine was declared a Minor Basillica on August 1.2016. Mass was conducted and after that stage programme which was viewed by thousands of devotees. This church was... read more,3,18,+91 82582 30322,Karkala,"Post Attur. (Via Kukundur). | Karkala Taluk. Udupi District , Karkala 576 117 , India",https://www.tripadvisor.com/Attraction_Review-g858479-d1207272-Reviews-St_Lawrence_Church-Karkala_Karnataka.html,karkala.json
Chaturmukha Basadi,,this place is very close by to the gomatheshwara statue. Like a walk of 2-3 mins. There are steps. So be careful in rainy season. And there is a specific timings of from d... read more,4,11,,Karkala,"Rocky Hill, Udupi District , Karkala , India",https://www.tripadvisor.com/Attraction_Review-g858479-d3913084-Reviews-Chaturmukha_Basadi-Karkala_Karnataka.html,karkala.json
Karkala Gomateshwara Statue,"Monuments & Statues , Sights & Landmarks","Nice huge statue of Gomateshwara. Parking is quite confusing, you can actually take your vehicle till top. The gate is closed most times. You need to call the mobile number... read more",1,43,,Karkala,"Karkala , India",https://www.tripadvisor.com/Attraction_Review-g858479-d3444745-Reviews-Karkala_Gomateshwara_Statue-Karkala_Karnataka.html,karkala.json
Jain Temple Varanga,,"People find the Gomateshwara statue as the best attraction in Karkala, but I would definitely go with this other Jain place of worship. Located away from the town, this temple is... read more",6,6,,Karkala,"Varanga Bus Stop , Karkala , India",https://www.tripadvisor.com/Attraction_Review-g858479-d3318503-Reviews-Jain_Temple_Varanga-Karkala_Karnataka.html,karkala.json
Moodabidri,,Moodabidri is 34 kms far from Mangaluru city. It is famous for 1000 pillar Jain temple called as Savira Kambada Basadi. The Basadi was built in 1430 bu the ruler of Vijayanagar... read more,5,10,,Karkala,"Near To Karkala , Karkala , India",https://www.tripadvisor.com/Attraction_Review-g858479-d3705749-Reviews-Moodabidri-Karkala_Karnataka.html,karkala.json
Pilikula Nisargadhama,"Observatories & Planetariums , Nature & Wildlife Areas , Science Museums , Museums , Nature & Parks , More","One place which was long overdue to visit... a place away from the hustle bustle of the city, very well maintained zoological park...the place is best visited on weekdays... read more",10,125,+91 824 226 3565,Mangalore,"Vamanjoor , Mangalore , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3397700-Reviews-Pilikula_Nisargadhama-Mangalore_Karnataka.html,mangalore.json
Shri Sharavu Mahaganapathi Temple,"Sacred & Religious Sites , Sights & Landmarks",Peaceful and divine ambiance surrounds you in the premises of the temple. Prefer to visit in the mornings as there is less crowd and to avoid the hustle and bustle of the busy... read more,14,43,,Mangalore,"Sharavu Bejai Church Road , Mangalore 575001 , India",https://www.tripadvisor.com/Attraction_Review-g297630-d3167883-Reviews-Shri_Sharavu_Mahaganapathi_Temple-Mangalore_Karnataka.html,mangalore.json
Kedareswara Temple,"Sacred & Religious Sites , Sights & Landmarks","Every detail tells a different story. You have to take a good gide to explain the amazing carvings. In the evening time, the light is excellent !",2,74,,Hassan,"Halebid, Belur , Hassan , India",https://www.tripadvisor.com/Attraction_Review-g503696-d3705700-Reviews-Kedareswara_Temple-Hassan_Karnataka.html,hassan.json
