attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_longitude,attraction_latitude,attraction_url,attraction_in_file
Catalina Express,"Ferries , Transportation",Catalina Express really lives up to its name. It's a quick ride over to the island and they run very smoothly. I actually slept the whole way back. Open seating is easy but get... read more,4,194,+1 800-481-3470,Catalina Island,"95 Berth , San Pedro (Admin Office) , Catalina Island, CA 90731-3384",,,https://www.tripadvisor.com/Attraction_Review-g102873-d1547894-Reviews-Catalina_Express-Catalina_Island_California.html,catalina_island.json
Long Beach Waterfront,"Biking Trails , Outdoor Activities , Nature & Parks","Stopped by earlier as we were staying in the area and it's a lovely walk round with shops, arcades and view of the port and all the docked boats as well as the Queen Mary. Make... read more",3,661,,Long Beach,"54th Place and Ocean Blvd. , Long Beach , CA",,,https://www.tripadvisor.com/Attraction_Review-g32648-d254828-Reviews-Long_Beach_Waterfront-Long_Beach_California.html,long_beach.json
El Dorado Nature Center,"Educational sites , Sights & Landmarks","Located in the northern section of El Dorado Park it is a little bit hard to find, but it is well worth the trip. the tour of the nature center could be as little a 30 minutes... read more",6,100,+1 562-570-1745,Long Beach,"7550 E Spring St , Long Beach , CA 90815-1698",,,https://www.tripadvisor.com/Attraction_Review-g32648-d5572863-Reviews-El_Dorado_Nature_Center-Long_Beach_California.html,long_beach.json
East West Players,,"Have been going to plays here for at least a decade - every production has been stellar, all stories of unusual interest and revealing of the culture featured.",246,5,+1 213-625-7000,Los Angeles,"120 Judge John Aiso St , Los Angeles , CA 90012-3852",,,https://www.tripadvisor.com/Attraction_Review-g32655-d2373538-Reviews-East_West_Players-Los_Angeles_California.html,los_angeles.json
Los Angeles Pet Memorial Park,,"Visited the cemetery while we stopped at the local historical home. This place may not be for everyone, but it clearly shows some people go above and beyond when saying good bye... read more",7,9,+1 818-591-7037,Calabasas,"5068 Old Scandia Ln , Calabasas , CA 91302-2507",,,https://www.tripadvisor.com/Attraction_Review-g32136-d952783-Reviews-Los_Angeles_Pet_Memorial_Park-Calabasas_California.html,calabasas.json
Mansion owned by Johnny Depp,,"The tour buses don't stop and you don't get to see much and they also point them out so fast you can't get photos and you end up not knowing who,s is who,s but johnny depps was... read more",16,10,,West Hollywood,"North Sweetzer Ave. , West Hollywood , CA",-118.3702773,34.0886772,https://www.tripadvisor.com/Attraction_Review-g33252-d107052-Reviews-Mansion_owned_by_Johnny_Depp-West_Hollywood_California.html,west_hollywood.json
Sundance Cinema- West Hollywood,,"This theater should be called FRONT COVER and not just the movie. I loved it. It was warm, inviting and comfortable. BTW - Saw the movie Front Cover there and it was FANTASTIC... read more",11,15,+1 323-654-2217,West Hollywood,"8000 W Sunset Blvd , West Hollywood , CA 90046-2439",,,https://www.tripadvisor.com/Attraction_Review-g33252-d3492337-Reviews-Sundance_Cinema_West_Hollywood-West_Hollywood_California.html,west_hollywood.json
The Queen Mary,"Specialty Museums , Museums",The tour guide was excellent and held the attention of some 20 boy scouts plus parents for an informative and fun tour. The ship is historic and full of interesting exhibits and... read more,5,"2,098",18773420738,Long Beach,"1126 Queens Hwy , Long Beach , CA 90802",-118.193046105417,33.7527928659426,https://www.tripadvisor.com/Attraction_Review-g32648-d104802-Reviews-The_Queen_Mary-Long_Beach_California.html,long_beach.json
Seal Beach Winery,,"Great place to have some amazing wine. The tasting room is small but intimate, and everyone in there (staff and guests) are friendly and welcoming. Possible to get some light... read more",2,6,+1 562-594-5800,Los Alamitos,"3387 Cerritos Ave , Los Alamitos , CA 90720-2105",,,https://www.tripadvisor.com/Attraction_Review-g32651-d3732802-Reviews-Seal_Beach_Winery-Los_Alamitos_California.html,los_alamitos.json
Melrose Avenue,,Great place to people watch and do some shopping. Several great little shops and places to snack. Take a walk and smell the flowers.,95,99,+1 323-469-8311,Los Angeles,"Melrose Ave. , Los Angeles , CA 90046",-118.3406108,34.0834439,https://www.tripadvisor.com/Attraction_Review-g32655-d110202-Reviews-Melrose_Avenue-Los_Angeles_California.html,los_angeles.json
Beverly Center,,"Very confusing to get around with the current renovations in progress. What we did like was that the Macy's, Bloomingdales, and fast fashion (H&M, Uniqlo) stores were well stocked... read more",4,238,+1 310-854-0071,West Hollywood,"8500 Beverly Blvd , West Hollywood , CA 90048-6201",,,https://www.tripadvisor.com/Attraction_Review-g33252-d181149-Reviews-Beverly_Center-West_Hollywood_California.html,west_hollywood.json
"The Latino Museum of History, Art and Culture","“ The Latino Museum of History needs a little more art ” Reviewed July 31, 2012 Rather empty space with rather light exhibits . . . too bad, I was excited to visit this place. The staff was very helpful and gave us an extra pass to return as part of the place was being remodeled. Helpful? 1 Thank SukiKunitz Report",,402,,,Los Angeles,,,,https://www.tripadvisor.com/Attraction_Review-g32655-d261880-Reviews-The_Latino_Museum_of_History_Art_and_Culture-Los_Angeles_California.html,los_angeles.json
Site of 77 Sunset Strip,,"It's good to go through it if your ember the tv series also if you take the red line you get all sorts of really great information on you head phones , you can pop of the bus... read more",27,17,,West Hollywood,"8532 W Sunset Blvd , West Hollywood , CA 90069-2310",,,https://www.tripadvisor.com/Attraction_Review-g33252-d107058-Reviews-Site_of_77_Sunset_Strip-West_Hollywood_California.html,west_hollywood.json
Sunset Plaza,"Neighborhood: West Hollywood Points of Interest & Landmarks , Sights & Landmarks",Several great restaurants. Nice shops. Low key vibe but cool and elegant. Super convenient to many key spots in L.A.,2,180,+1 310 652 2622,West Hollywood,"The 8600 Block of Sunset Boulevard , West Hollywood , CA 90069",,,https://www.tripadvisor.com/Attraction_Review-g33252-d107059-Reviews-Sunset_Plaza-West_Hollywood_California.html,west_hollywood.json
Sunset Strip,"Neighborhood: West Hollywood Neighborhoods , Points of Interest & Landmarks , Sights & Landmarks , Other","During the day, it could be seen as just another street but it comes alive at night - lots of bars and places for music. I'd avoid the tourist shopping.",1,318,+1 310-659-7368,West Hollywood,"9040 W Sunset Blvd , West Hollywood , CA 90069-1851",,,https://www.tripadvisor.com/Attraction_Review-g33252-d277004-Reviews-Sunset_Strip-West_Hollywood_California.html,west_hollywood.json
Orange Coast Winery,,"This is a hidden gem. We had fantastic service from knowledgeable servers. Get the cheese or meat and cheese plate to pair the wines. Also, the hummus trio gets a five stars from... read more",31,17,+1 949-645-0400,Newport Beach,"869 W 16th St , Newport Beach , CA 92663-2801",,,https://www.tripadvisor.com/Attraction_Review-g32780-d2539899-Reviews-Orange_Coast_Winery-Newport_Beach_California.html,newport_beach.json
California Heritage Museum,,"This place is beautiful. We saw a band play here in the basement, where they have a bar and lounge, which was a very cool experience. I also noticed they have gourmet food trucks... read more",49,8,+1 310-392-8537,Santa Monica,"2612 Main St , Santa Monica , CA 90405-4002",,,https://www.tripadvisor.com/Attraction_Review-g33052-d107829-Reviews-California_Heritage_Museum-Santa_Monica_California.html,santa_monica.json
La Plaza de Cultura Y Artes,,I can't say enough about how well done this gallery is. All artwork had stories about the artist and the art piece. Galleries dealt with subjects as diverse as Mexican and East LA... read more,269,4,+1 213-542-6200,Los Angeles,"501 N Main St , Los Angeles , CA 90012-2828",,,https://www.tripadvisor.com/Attraction_Review-g32655-d2527987-Reviews-La_Plaza_de_Cultura_Y_Artes-Los_Angeles_California.html,los_angeles.json
The Hollywood Experience,,"We were in USA for 15 days and only 3 days in LA. It was the most memorable, unique, fantastic part of our journey. We loved entire hollywood experience. Must come hollywood",180,14,+1 323-919-8522,Los Angeles,"7095 Hollywood Blvd , Suite 1117 , Los Angeles , CA 90028-8903",,,https://www.tripadvisor.com/Attraction_Review-g32655-d2639479-Reviews-The_Hollywood_Experience-Los_Angeles_California.html,los_angeles.json
Madonna's Former Home,,"Only got to see it as it was next door to where we stopped the car for photo opera unity of the Hollywood sign, but interesting to see the much discussed wall she once had painted... read more",18,6,,West Hollywood,"9045 Oriole Way , West Hollywood , CA 90069-1124",,,https://www.tripadvisor.com/Attraction_Review-g33252-d107067-Reviews-Madonna_s_Former_Home-West_Hollywood_California.html,west_hollywood.json
Dorothy Green Park,,"Excellent outdoor space to take the family, meet locals, bring pets and enjoy the beach. Every visit is different.",42,11,,Santa Monica,"2600 Barnard Way , At the end of Ocean Park Blvd , Santa Monica , CA 90405",,,https://www.tripadvisor.com/Attraction_Review-g33052-d2081699-Reviews-Dorothy_Green_Park-Santa_Monica_California.html,santa_monica.json
Biscailuz Building,"“ Great murals and a beautiful building ” Reviewed July 29, 2016 At first glance this appears to be another great structure to this historic area. However, don't not miss the artwork underneath the arches. There is a great mural depicting the blessing of the animals usually performed around St. Francis day. We bless the animals as well at our church and this picture depicts a great Mexican cultural moment doing the... More Helpful? Thank Grover R Report",,266,4,,Los Angeles,,,,https://www.tripadvisor.com/Attraction_Review-g32655-d7132935-Reviews-Biscailuz_Building-Los_Angeles_California.html,los_angeles.json
Old Plaza Church,,"This is a beautiful church on the corner of the plaza and Olvera street. With the historic Catholic Church across the street, I was surprised to see this. I was even more... read more",211,8,+1 213-629-3101,Los Angeles,"535 North Main St , Los Angeles , CA 90012",,,https://www.tripadvisor.com/Attraction_Review-g32655-d560868-Reviews-Old_Plaza_Church-Los_Angeles_California.html,los_angeles.json
Our Lady Queen of Angels,,What a nice stop. The church is not very big but authentic. The patio outside it's an oasis of peace in L.A.,243,6,213-617-0104,Los Angeles,"100 W Cesar E Chavez Ave , Los Angeles , CA 90012-2804",,,https://www.tripadvisor.com/Attraction_Review-g32655-d8024116-Reviews-Our_Lady_Queen_of_Angels-Los_Angeles_California.html,los_angeles.json
Ocean Park Ranch,,"My husband Cory, loves to ride horses and found this wonderful team to do it with. Today we drove 62 miles to reach one of their trails in Granada Hills and the day was simply... read more",53,5,+1 310-854-9764,Santa Monica,"2229 4th St , Santa Monica , CA 90405-2309",,,https://www.tripadvisor.com/Attraction_Review-g33052-d5859552-Reviews-Ocean_Park_Ranch-Santa_Monica_California.html,santa_monica.json
Center For Motion Picture Study,,"I was fortunate enough to finally visit here, words cannot describe my feelings of seeing this library & media motion picture center, it has something for all and for someone... read more",26,7,+1 310-247-3020,Beverly Hills,"333 S La Cienega Blvd , Beverly Hills , CA 90211-3331",,,https://www.tripadvisor.com/Attraction_Review-g32070-d592438-Reviews-Center_For_Motion_Picture_Study-Beverly_Hills_California.html,beverly_hills.json
Sepulveda House,,"While not as historic as the Avila, the home is a great historic structure and shows the life of early LA residents around the turn of the 20th century. It is the back half of the... read more",253,8,213 624 7300,Los Angeles,"12 Olvera St , El Pueblo de Los Angeles , Los Angeles , CA 90012-2921",,,https://www.tripadvisor.com/Attraction_Review-g32655-d7132941-Reviews-Sepulveda_House-Los_Angeles_California.html,los_angeles.json
Old Plaza,,Nearly all great communities have a public square or meeting place and for early Los Angeles this was it. It is a great square that connects all of the parts of Los Pueblos... read more,179,18,,Los Angeles,"South end of Olvera St , El Pueblo , Los Angeles , CA 90012",,,https://www.tripadvisor.com/Attraction_Review-g32655-d560867-Reviews-Old_Plaza-Los_Angeles_California.html,los_angeles.json
America Tropical Interpretive Center,,"If you think public mural graffiti is solely a modern art form, it has been around Los Angeles for 100 years. For those familiar with Miami, this may have been the original... read more",287,5,+1 213-680-2525,Los Angeles,"125 Paseo de La Plz , Los Angeles , CA 90012-2932",,,https://www.tripadvisor.com/Attraction_Review-g32655-d6485228-Reviews-America_Tropical_Interpretive_Center-Los_Angeles_California.html,los_angeles.json
Newport Beach Pier,"Piers & Boardwalks , Points of Interest & Landmarks , Sights & Landmarks",It was kind of neat to walk out onto the pier and to see all the people fishing (one person caught a stingray while we were there). It broke up our day of stopping at the shops... read more,9,153,,Newport Beach,"Newport Beach , CA",-117.92944,33.6170092,https://www.tripadvisor.com/Attraction_Review-g32780-d6654058-Reviews-Newport_Beach_Pier-Newport_Beach_California.html,newport_beach.json
City Hall,,"As LA suburban public buildings go, this one is a jewel. I suspect the 1930s architect may have been strongly influenced by Emperor Ming's Palace in the old Flash Gordon movies... read more",37,15,+1 310-458-8411,Santa Monica,"1685 Main St , Santa Monica , CA 90401-3295",,,https://www.tripadvisor.com/Attraction_Review-g33052-d5030827-Reviews-City_Hall-Santa_Monica_California.html,santa_monica.json
Virginia Robinson Gardens,,We got excellent stories but we were not able to reserve on the spot as it is very demanded. Do it well in advance.,19,20,+1 310-276-5367,Beverly Hills,"1008 Elden Way , Beverly Hills , CA 90210-2805",,,https://www.tripadvisor.com/Attraction_Review-g32070-d116600-Reviews-Virginia_Robinson_Gardens-Beverly_Hills_California.html,beverly_hills.json
Avila Adobe,"Neighborhood: Central L.A Historic Sites , History Museums , Sights & Landmarks , Museums","This is Los Angeles's oldest house, though it has been extensively refurbished since a relatively recent earthquake did a lot of damage to it. It is now a small museum – furnished... read more",96,52,+1 213-680-2525,Los Angeles,"10 Olvera St , Los Angeles , CA 90012-2921",,,https://www.tripadvisor.com/Attraction_Review-g32655-d156640-Reviews-Avila_Adobe-Los_Angeles_California.html,los_angeles.json
Ace Gallery Beverly Hills,"“ A NIGHT IN PARIS... BEVERLY HILLS IS CLOSE BY! ” Reviewed October 1, 2015 the last word in galleries, i heard about from artist diane hollandTAKE YOUR ELEGANT girl out for some champagne sat the beverly wilshire and then to ace gallery for the tour of art.... the latest international gifted artists, new and old.. and meet some new friends in the art world... make some notes these people are for real... life begins... More Helpful? Thank richard d Report",,30,3,,Beverly Hills,,,,https://www.tripadvisor.com/Attraction_Review-g32070-d6548798-Reviews-Ace_Gallery_Beverly_Hills-Beverly_Hills_California.html,beverly_hills.json
Margaret Herrick Library,,"I have wanted to visit this library for years. Though the library for the Academy of Motion Picture Arts and Sciences was established in the 1920s, I was two years away from... read more",29,4,+1 310-247-3020,Beverly Hills,"333 S La Cienega Blvd , Beverly Hills , CA 90211-3331",,,https://www.tripadvisor.com/Attraction_Review-g32070-d4068308-Reviews-Margaret_Herrick_Library-Beverly_Hills_California.html,beverly_hills.json
Balboa Island,"Islands , Nature & Parks",If your looking for something fun to do then you can't go wrong with a visit to Balboa Island. The stores offer a village feel down Main Street and there is a wide variety of... read more,3,955,9496736580,Newport Beach,"Newport Beach , CA",-117.92944,33.6170092,https://www.tripadvisor.com/Attraction_Review-g32780-d269454-Reviews-Balboa_Island-Newport_Beach_California.html,newport_beach.json
Balboa Island Ferry,"Ferries , Transportation","It is great to see a ferry on the island. Balboa is great, its quirky as is this ferry, I deliberately wait to use this ferry instead of driving across the bridge. One does speed... read more",1,"1,239",+1 949-673-1070,Newport Beach,"410 S Bay Front , Newport Beach , CA 92662-1042",,,https://www.tripadvisor.com/Attraction_Review-g32780-d2081137-Reviews-Balboa_Island_Ferry-Newport_Beach_California.html,newport_beach.json
Santa Monica Place,"Neighborhood: Santa Monica Shopping Malls , Shopping",This is an excellent place to shop even though there are some dingy alleys you have to walk through at times. Even on a Sunday evening it was very crowded so parking was an... read more,12,212,+1 310-260-8333,Santa Monica,"395 Santa Monica Pl , Santa Monica , CA 90401-2372",,,https://www.tripadvisor.com/Attraction_Review-g33052-d283249-Reviews-Santa_Monica_Place-Santa_Monica_California.html,santa_monica.json
Coldwater Canyon Park,,"Great spot to meet up with friends for play dates. Good play structures. Shaded areas and a ""stream"" for little ones to play in. It's extremely shallow and man made. Bring a... read more",17,19,,Beverly Hills,"1100 N Beverly Dr , Beverly Hills , CA 90210-2339",,,https://www.tripadvisor.com/Attraction_Review-g32070-d4598396-Reviews-Coldwater_Canyon_Park-Beverly_Hills_California.html,beverly_hills.json
All Saints' Episcopal Church,,"My better half and I were passing by and we suddenly decided we had not taken holy Communion in far too long. We stepped into the cool church, bumped into a priest and told him we... read more",28,4,310 275 0123,Beverly Hills,"504 N Camden Dr , Beverly Hills , CA 90210-3202",,,https://www.tripadvisor.com/Attraction_Review-g32070-d8648193-Reviews-All_Saints_Episcopal_Church-Beverly_Hills_California.html,beverly_hills.json
Eames House,,This is a really special place which was the home of an important creative 20th century designer. Very interesting to anyone interested in furniture or architecture.,116,28,+1 310-459-9663,Los Angeles,"203 / 205 Chautauqua Boulevard , Los Angeles , CA",-118.518204697055,34.0305367210675,https://www.tripadvisor.com/Attraction_Review-g32655-d677151-Reviews-Eames_House-Los_Angeles_California.html,los_angeles.json
Beverly Hills Public Library,"Neighborhood: Beverly Hills Libraries , Traveler Resources","Truly a gem in LA County! Beautifully designed, quiet, great kids' section and tons of staff to assist. There is a coffee place and a used bookstore on the first floor... read more",5,61,+1 310-288-2220,Beverly Hills,"444 N Rexford Dr , Beverly Hills , CA 90210-4873",,,https://www.tripadvisor.com/Attraction_Review-g32070-d6122852-Reviews-Beverly_Hills_Public_Library-Beverly_Hills_California.html,beverly_hills.json
Good Shepherd Catholic Church,,"Although it's called the church of the stars, you probably won't see celebrities there. It's a simple mission styled church located in a beautiful neighborhood. It's very low... read more",13,37,310 285 5425,Beverly Hills,"505 N Bedford Dr , Beverly Hills , CA 90210-3213",,,https://www.tripadvisor.com/Attraction_Review-g32070-d102897-Reviews-Good_Shepherd_Catholic_Church-Beverly_Hills_California.html,beverly_hills.json
Santa Monica Public Library,"Neighborhood: Santa Monica Libraries , Traveler Resources","Aside from the homeless that hang out near the entrance, don't let that deter you. On this my second visit to this library for research (thank you Alice and the team of reference... read more",19,111,+1 310-458-8600,Santa Monica,"601 Santa Monica Blvd , Santa Monica , CA 90401-2501",,,https://www.tripadvisor.com/Attraction_Review-g33052-d2373515-Reviews-Santa_Monica_Public_Library-Santa_Monica_California.html,santa_monica.json
Santa Monica Farmers Market,"Neighborhood: Santa Monica Flea & Street Markets , Shopping",This is such a fun atmosphere! There is no better way to bring local farmers together with the community of Santa Monica and the neighborhoods around this beach city. There's... read more,18,130,+1 310-458-8712,Santa Monica,"Santa Monica Pier , Santa Monica , CA 90401",-118.4960541,34.0104809,https://www.tripadvisor.com/Attraction_Review-g33052-d283270-Reviews-Santa_Monica_Farmers_Market-Santa_Monica_California.html,santa_monica.json
Santa Monica Beach,"Neighborhood: Santa Monica Nature & Wildlife Areas , Beaches , State Parks , Outdoor Activities , Nature & Parks , More","Even in October this is the place to work on your tan! The sand is soft, the sun's out and it's a beautiful place! Not busy and easy to park (we chose a car park that had all... read more",2,"4,396",310-394-3264,Santa Monica,"Ocean Ave at Colorado Ave , Santa Monica , CA 90401",,,https://www.tripadvisor.com/Attraction_Review-g33052-d117412-Reviews-Santa_Monica_Beach-Santa_Monica_California.html,santa_monica.json
Palisades Park,"Neighborhood: Santa Monica Theme Parks , Nature & Parks , Water & Amusement Parks",Shame about the number of homeless people sleeping on the benches etc. Great view though and lovely flowers.,6,382,310-828-4497,Santa Monica,"Ocean Avenue , Santa Monica , CA 90401",-118.4938926,34.0105583,https://www.tripadvisor.com/Attraction_Review-g33052-d104249-Reviews-Palisades_Park-Santa_Monica_California.html,santa_monica.json
Santa Monica Visitor Center,,"If you need any local information on how to find your way or local bus routes etc. then this is the place to go . On the sea front just along from the pier , very helpful staff",21,54,310-393-7593,Santa Monica,"1400 Ocean Ave , Santa Monica , CA 90401-2117",,,https://www.tripadvisor.com/Attraction_Review-g33052-d104237-Reviews-Santa_Monica_Visitor_Center-Santa_Monica_California.html,santa_monica.json
Studio City Golf and Tennis,,This little 9 hole has been here forever. Studio City wouldn't be the same if it wasn't there. It's actually called Weddington Golf & Tennis. I've hit golf balls at the... read more,273,6,+1 818-769-5263,Los Angeles,"4141 Whitsett Ave , Los Angeles , CA 91604-2424",,,https://www.tripadvisor.com/Attraction_Review-g32655-d156932-Reviews-Studio_City_Golf_and_Tennis-Los_Angeles_California.html,los_angeles.json
L.A.Connection Comedy Theatre,"“ fun ” Reviewed November 26, 2014 via mobile fun night. entertaining evening. great performers. I always enjoy myself when I'm there. I strongly recommend Helpful? 1 Thank Erik W Report",,325,2,,Los Angeles,,,,https://www.tripadvisor.com/Attraction_Review-g32655-d5569130-Reviews-L_A_Connection_Comedy_Theatre-Los_Angeles_California.html,los_angeles.json
Franklin Canyon Park,,"This is so close to Beverly Hills, it is amazing, the lake is gorgeous with always lots of ducks and geese, it is great to walk your dogs around the lake ( they have to be leashed... read more",10,33,+1 310-858-7272,Beverly Hills,"2600 Franklin Canyon Drive , Beverly Hills , CA 90210",,,https://www.tripadvisor.com/Attraction_Review-g32070-d6599158-Reviews-Franklin_Canyon_Park-Beverly_Hills_California.html,beverly_hills.json
Boney Island,,"A pleasure to have so close by, Boney Island is the type of thing small town memories are made of. Children and adults alike will marvel at the scope and execution of this front... read more",302,2,,Los Angeles,"4602 Morse Ave , Los Angeles , CA 91423-3326",,,https://www.tripadvisor.com/Attraction_Review-g32655-d8756013-Reviews-Boney_Island-Los_Angeles_California.html,los_angeles.json
The Wizarding World of Harry Potter,,"The park was amazing and so true to the world of Harry Potter as shown in the movies. It was like everything we imagined, and perhaps even better! A must to pay a visit to... read more",21,201,,Los Angeles,"100 Universal City Plaza , Los Angeles , CA",,,https://www.tripadvisor.com/Attraction_Review-g32655-d10116569-Reviews-The_Wizarding_World_of_Harry_Potter-Los_Angeles_California.html,los_angeles.json
Skirball Cultural Center,,"We did not have time to visit all the Cultural Center, but certainly the Noah's Ark exhibit is simply excellent. Creatively interactive. Friendly staff. Lots of activities for... read more",47,240,+1 310-440-4500,Los Angeles,"2701 N Sepulveda Blvd , Los Angeles , CA 90049-6833",,,https://www.tripadvisor.com/Attraction_Review-g32655-d127362-Reviews-Skirball_Cultural_Center-Los_Angeles_California.html,los_angeles.json
Westridge-Canyonback Wilderness Park,,"I'm always trying to find ways to give my dog a good run. So hard to do in L A where we have very few options- Booh! - unlike Santa Barbara or Orange County. Anyhow, when I... read more",276,5,,Los Angeles,"17500 Mulholland Dr , Los Angeles , CA 90049-1280",,,https://www.tripadvisor.com/Attraction_Review-g32655-d7714855-Reviews-Westridge_Canyonback_Wilderness_Park-Los_Angeles_California.html,los_angeles.json
Lake Balboa Park,,"We went to the park for the first time with a Dutch Oven Cooking Group for one of our outings. The park is very large with a nice lake, many grassy areas for groups, areas for... read more",113,67,+1 818-756-9743,Los Angeles,"6300 Balboa Blvd. , Los Angeles , CA CA 91406",-118.501005868424,34.1841347747343,https://www.tripadvisor.com/Attraction_Review-g32655-d1901722-Reviews-Lake_Balboa_Park-Los_Angeles_California.html,los_angeles.json
Kenneth Hahn State Recreation Area,,"Thanks to Kenny Hahn for turning an abandoned dam basin & played out oil fields into a great recreational area smack dab near the Westside, between Culver City & Baldwin Hills... read more",168,16,+1 323-298-3660,Los Angeles,"4100 S La Cienega Blvd , Los Angeles , CA 90056-1100",,,https://www.tripadvisor.com/Attraction_Review-g32655-d4588563-Reviews-Kenneth_Hahn_State_Recreation_Area-Los_Angeles_California.html,los_angeles.json
Museum of Neon Art,,NEON is no longer something from th e'olden days.' Th eNeon Museum has captured the heart and soul of the neon signage from the olden days AND it also has a gift store with... read more,8,10,8186962149,Glendale,"216 S Brand Blvd , Glendale , CA 91204",,,https://www.tripadvisor.com/Attraction_Review-g32431-d10678672-Reviews-Museum_of_Neon_Art-Glendale_California.html,glendale.json
Forest Lawn Memorial Park,"Cemeteries , Sights & Landmarks","We were reviewing what to see in Glendale and came across information about the Trilogy Collection in the Mausoleum and Hall. The buildings contain lovely statuary, stained glass... read more",2,171,800-204-3131,Glendale,"1712 S Glendale Ave , Glendale , CA 91205-3320",,,https://www.tripadvisor.com/Attraction_Review-g32431-d103417-Reviews-Forest_Lawn_Memorial_Park-Glendale_California.html,glendale.json
The Americana at Brand,"Shopping Malls , Shopping","Very nice place. Great atmosphere, wide variety of shops. Great terraces to have a lunch or dinner. Safe area for walking with kids.",1,267,+1 877-897-2097,Glendale,"889 Americana Way Ste 330 , btw Brand Blvd and Central Ave , Glendale , CA 91210-1559",,,https://www.tripadvisor.com/Attraction_Review-g32431-d1143575-Reviews-The_Americana_at_Brand-Glendale_California.html,glendale.json
Echo Park,"Neighborhoods , Nature & Parks , Sights & Landmarks , Other","Great little city park surrounding excellent lake. Some nice shady areas to sit and relax, eat your lunch, people watch. Many people use the path for jogging. Even though you're... read more",105,51,+1 323-860-8874,Los Angeles,"Los Angeles , CA 90026",-118.2601763,34.0634381,https://www.tripadvisor.com/Attraction_Review-g32655-d276912-Reviews-Echo_Park-Los_Angeles_California.html,los_angeles.json
Glendale Centre Theatre,,I have lived in Glendale for 50 years and I think this theatre group has been around almost that long. They like to present many plays that are very popular with a senior age... read more,5,49,+1 818-244-8481,Glendale,"324 N Orange St , Glendale , CA 91203-2206",,,https://www.tripadvisor.com/Attraction_Review-g32431-d274354-Reviews-Glendale_Centre_Theatre-Glendale_California.html,glendale.json
Alex Theatre,,I have attended a number of shows at the Alex Theatre and I really love the beautiful architecture. The interior has been renovated and the sight lines are pretty good. The... read more,6,30,+1 818-243-2539,Glendale,"216 N Brand Blvd , Glendale , CA 91203-2610",,,https://www.tripadvisor.com/Attraction_Review-g32431-d276905-Reviews-Alex_Theatre-Glendale_California.html,glendale.json
Topanga State Park,"State Parks , Nature & Parks ","One of the best ride you can take in nature. Great for bikers, and simply taking a ride or hiking. The smell of the eucalyptus and wild fennel is amazing. Also, variaty of wild... read more",68,96,+1 310-455-2465,Los Angeles,"20829 Entrada Rd , Los Angeles , CA 90290-3529",,,https://www.tripadvisor.com/Attraction_Review-g32655-d156946-Reviews-Topanga_State_Park-Los_Angeles_California.html,los_angeles.json
Topanga State Beach,,"I crawled in here after a suffer-fest bike ride in the heat of the Santa Monicas. There was easy parking on the PCH, but there is also parking lot parking available.On a Monday... read more",18,38,+1 310-394-3266,Malibu,"18700 Pacific Coast Hwy , Malibu , CA 90265-5525",,,https://www.tripadvisor.com/Attraction_Review-g32676-d560728-Reviews-Topanga_State_Beach-Malibu_California.html,malibu.json
The Getty Villa,"Specialty Museums , Museums",You usually need to go online and get reserved admission tickets (free) and then pay for parking when you arrive. We had some time in the area a decided to stop in only to find... read more,1,"1,668",+1 310-440-7300,Malibu,"17985 Pacific Coast Highway , Pacific Palisades , Malibu , CA 90272",-118.5900628,34.0395811,https://www.tripadvisor.com/Attraction_Review-g32676-d1067416-Reviews-The_Getty_Villa-Malibu_California.html,malibu.json
Will Geer's Theatricum Botanicum,,We saw a production of a Midsummer Nights Dream at the Will Geer Theatricum Botanicum in Topanga Canyon. What a beautiful space to have an open air theater. You are urged to come... read more,1,23,+1 310-455-2322,Topanga,"1419 N Topanga Canyon Blvd , Topanga , CA 90290-4275",,,https://www.tripadvisor.com/Attraction_Review-g1052868-d3467669-Reviews-Will_Geer_s_Theatricum_Botanicum-Topanga_California.html,topanga.json
Will Rogers State Historic Park,,"Just a few minutes up the coast from Santa Monica pier and then slightly inland a few miles, take yourself back to Will Rogers' life by touring the ranch grounds and ranch house... read more",79,81,+1 310-454-8212,Los Angeles,"1501 Will Rogers State Park Rd , Los Angeles , CA 90272-3941",,,https://www.tripadvisor.com/Attraction_Review-g32655-d129207-Reviews-Will_Rogers_State_Historic_Park-Los_Angeles_California.html,los_angeles.json
Verdugo Park & Recreation Center,,"I have a weight meeting there every Monday night. Great place for kids, many activities such as exercise classes, kick boxing and including a wonderful swimming pool, basket ball... read more",12,3,818.238.5390,Burbank,"3201 W Verdugo Ave , Burbank , CA 91505-3556",,,https://www.tripadvisor.com/Attraction_Review-g32123-d8817286-Reviews-Verdugo_Park_Recreation_Center-Burbank_California.html,burbank.json
Malibu Pier,"Neighborhood: Malibu Piers & Boardwalks , Points of Interest & Landmarks , Sights & Landmarks",Parking was overpriced for the amount of time we were going to spend so dropped a star but we dropped lucky parking on the road and walked back. Just so relaxing. So different to... read more,5,501,+1 855-877-9900,Malibu,"23000 Pacific Coast Hwy , Malibu , CA 90265-4936",,,https://www.tripadvisor.com/Attraction_Review-g32676-d560725-Reviews-Malibu_Pier-Malibu_California.html,malibu.json
